"Période";"Tarif d'une tonne de propane en citerne";"Prix au détail de 100 kWh PCI de propane en citerne";"Prix d'une tonne de propane";"Prix au détail de 100 kWh PCS de propane";"Prix au détail de 100 kWh PCI de propane";"Prix au détail d'une bouteille de butane de 13 kg";"Prix au détail de 100 litres de FOD au tarif C1";"Prix au détail de 10 kWh PCI de FOD au tarif C1";"Prix au détail d'un litre d'essence ordinaire";"Prix au détail d'un litre de super carburant ARS";"Prix au détail d'un litre de super sans plomb 95";"Prix au détail d'un litre de super sans plomb 98";"Prix au détail d'un litre de gazole";"Prix au détail d'un litre de GPLc";"Prix au détail d'un litre de super sans plomb 95-E10";"Prix au détail d'un litre de superéthanol E85"
"PERIODE";"PX_PETRO_PROPANE_CITERNE_TONNE";"PX_PETRO_PROPANE_CITERNE_100KWH";"PX_PETRO_PROPANE_TONNE";"PX_PETRO_PROPANE_PCS_100KWH";"PX_PETRO_PROPANE_PCI_100KWH";"PX_PETRO_BUTANE_BOUTEILLE13KG";"PX_PETRO_FOD_100L_C1";"PX_PETRO_FOD_100KWH_C1";"PX_PETRO_ESS_LITRE";"PX_PETRO_SUPER_ARS_LITRE";"PX_PETRO_SP95_LITRE";"PX_PETRO_SP98_LITRE";"PX_PETRO_GAZOLE_LITRE";"PX_PETRO_GPLC_LITRE";"PX_PETRO_SP95_E10_LITRE";"PX_PETRO_SUPERETHANOL_E85_LITRE"
"2023-03";;;;;;;128.824;12.9968;;;1.9145;1.9745;1.8188;0.9821;1.8861;1.1201
"2020-11";;;1851.0749;13.4136;14.4842;;70.7;7.1328;;;1.328;1.392;1.216;0.839;1.3117;0.6495
"2023-02";;;1901.1052;13.7761;14.8756;41.13;130.955;13.2118;;;1.9096;1.969;1.8409;0.9735;1.8797;1.1188
"2021-09";;;2082.5521;15.091;16.2954;35.43;91.3525;9.2164;;;1.5827;1.6443;1.4477;0.853;1.5574;0.6746
"2022-12";;;2052.8569;14.8758;16.0631;40.28;133.872;13.5061;;;1.6842;1.74;1.7622;0.8846;1.6421;0.8785
"2021-08";;;1808.0997;13.1022;14.1479;35.15;89.1025;8.9894;;;1.58;1.643;1.4321;0.8582;1.5565;0.6773
"2019-10";;;1910.1409;13.8416;14.9463;34.67;92.8;9.3624;;;1.5;1.561;1.441;0.859;;
"2022-05";;;2051.7095;14.8675;16.0541;37.72;151.89;15.3239;;;1.9233;1.9827;1.8756;0.8374;1.8856;0.7736
"2022-08";;;2092.8207;15.1654;16.3758;39.24;151.8825;15.3231;;;1.7915;1.8541;1.8545;0.8651;1.75;0.8063
