"Période";"Prix au détail de l'électricité TTC toutes tranches";"Prix au détail de l'électricité TTC tranche DA";"Prix au détail de l'électricité TTC tranche DB";"Prix au détail de l'électricité TTC tranche DC";"Prix au détail de l'électricité TTC tranche DD";"Prix au détail de l'électricité TTC tranche DE"
"PERIODE";"PX_ELE_D_TTES_TRANCHES";"PX_ELE_D_DA";"PX_ELE_D_DB";"PX_ELE_D_DC";"PX_ELE_D_DD";"PX_ELE_D_DE"
"2022-07";;;;;;
"2020-04";18.5562;40.6086;22.4012;18.9331;17.4158;16.7661
"2022-10";;;;;;
"2020-12";19.2011;43.9465;23.2685;19.575;17.9807;17.3309
"2018-06";16.9157;34.684;20.1941;17.4773;16.0503;15.4496
"2023-03";;;;;;
"2023-02";;;;;;
"2022-11";;;;;;
"2022-06";20.3899;44.4119;24.8865;20.8644;19.2323;18.3531
"2022-12";;;;;;
"2022-03";20.3899;44.4119;24.8865;20.8644;19.2323;18.3531
"2022-05";20.3899;44.4119;24.8865;20.8644;19.2323;18.3531
"2020-10";19.2011;43.9465;23.2685;19.575;17.9807;17.3309
"2022-04";20.3899;44.4119;24.8865;20.8644;19.2323;18.3531
"2021-10";19.6825;42.3566;23.9783;20.2157;18.4984;17.8144
"2020-09";19.2011;43.9465;23.2685;19.575;17.9807;17.3309
"2020-02";18.5562;40.6086;22.4012;18.9331;17.4158;16.7661
"2019-08";18.5376;37.9191;22.2811;19.1275;17.4145;16.7147
"2018-02";16.9157;34.684;20.1941;17.4773;16.0503;15.4496
"2020-01";18.5562;40.6086;22.4012;18.9331;17.4158;16.7661
"2019-12";18.5376;37.9191;22.2811;19.1275;17.4145;16.7147
"2022-09";;;;;;
"2021-06";18.9873;39.3878;22.8218;19.4564;17.9013;17.2638
"2018-04";16.9157;34.684;20.1941;17.4773;16.0503;15.4496
"2021-03";18.9873;39.3878;22.8218;19.4564;17.9013;17.2638
"2021-02";18.9873;39.3878;22.8218;19.4564;17.9013;17.2638
"2019-06";17.0408;34.7298;20.7654;17.782;16.0642;15.334
"2018-10";17.438;42.4453;21.0999;17.9855;16.2948;15.557
"2020-07";19.2011;43.9465;23.2685;19.575;17.9807;17.3309
"2020-06";18.5562;40.6086;22.4012;18.9331;17.4158;16.7661
"2023-01";;;;;;
"2018-03";16.9157;34.684;20.1941;17.4773;16.0503;15.4496
"2020-11";19.2011;43.9465;23.2685;19.575;17.9807;17.3309
"2022-08";;;;;;
"2021-04";18.9873;39.3878;22.8218;19.4564;17.9013;17.2638
"2021-01";18.9873;39.3878;22.8218;19.4564;17.9013;17.2638
"2019-10";18.5376;37.9191;22.2811;19.1275;17.4145;16.7147
"2019-07";18.5376;37.9191;22.2811;19.1275;17.4145;16.7147
"2019-03";17.0408;34.7298;20.7654;17.782;16.0642;15.334
"2018-01";16.9157;34.684;20.1941;17.4773;16.0503;15.4496
"2021-12";19.6825;42.3566;23.9783;20.2157;18.4984;17.8144
"2021-09";19.6825;42.3566;23.9783;20.2157;18.4984;17.8144
"2021-05";18.9873;39.3878;22.8218;19.4564;17.9013;17.2638
"2020-03";18.5562;40.6086;22.4012;18.9331;17.4158;16.7661
"2019-11";18.5376;37.9191;22.2811;19.1275;17.4145;16.7147
"2019-09";18.5376;37.9191;22.2811;19.1275;17.4145;16.7147
"2018-07";17.438;42.4453;21.0999;17.9855;16.2948;15.557
"2017-12";16.8848;30.0789;20.0818;17.5648;15.9953;15.3397
"2022-01";20.3899;44.4119;24.8865;20.8644;19.2323;18.3531
"2021-11";19.6825;42.3566;23.9783;20.2157;18.4984;17.8144
"2020-05";18.5562;40.6086;22.4012;18.9331;17.4158;16.7661
"2019-05";17.0408;34.7298;20.7654;17.782;16.0642;15.334
"2019-01";17.0408;34.7298;20.7654;17.782;16.0642;15.334
"2018-09";17.438;42.4453;21.0999;17.9855;16.2948;15.557
"2022-02";20.3899;44.4119;24.8865;20.8644;19.2323;18.3531
"2021-07";19.6825;42.3566;23.9783;20.2157;18.4984;17.8144
"2019-04";17.0408;34.7298;20.7654;17.782;16.0642;15.334
"2018-12";17.438;42.4453;21.0999;17.9855;16.2948;15.557
"2021-08";19.6825;42.3566;23.9783;20.2157;18.4984;17.8144
"2020-08";19.2011;43.9465;23.2685;19.575;17.9807;17.3309
"2018-11";17.438;42.4453;21.0999;17.9855;16.2948;15.557
"2018-08";17.438;42.4453;21.0999;17.9855;16.2948;15.557
"2019-02";17.0408;34.7298;20.7654;17.782;16.0642;15.334
"2018-05";16.9157;34.684;20.1941;17.4773;16.0503;15.4496
"2017-10";16.8848;30.0789;20.0818;17.5648;15.9953;15.3397
"2017-05";16.3918;32.0333;19.464;17.0379;15.588;15.1294
"2017-04";16.3918;32.0333;19.464;17.0379;15.588;15.1294
"2017-02";16.3918;32.0333;19.464;17.0379;15.588;15.1294
"2016-08";16.6272;29.446;18.9448;17.1064;15.9419;15.5988
"2016-02";16.3545;28.2092;18.5831;16.8537;15.6966;15.4346
"2014-01";15.1716;26.7772;17.6909;15.8457;14.5699;13.1682
