"Période";"Prix au détail d'une tonne de granulés de bois en vrac";"Prix au détail d'une tonne de granulés de bois en sacs";"Prix au détail de 100 kWh PCI de bois en vrac";"Prix au détail de 100 kWh PCI de bois en sacs"
"PERIODE";"PX_BOIS_GRANVRAC_TONNE";"PX_BOIS_GRANSACS_TONNE";"PX_BOIS_GRANVRAC_100KWH";"PX_BOIS_GRANSACS_100KWH"
"2022-10";609.6;636.9;13.2522;13.8456
"2021-08";282.6;305.8;6.1435;6.6478
"2022-03";340.3;338.3;7.3978;7.3543
"2023-02";;;;
"2023-01";;;;
"2021-03";283.8;290;6.1696;6.3043
"2022-11";609.6;636.9;13.2522;13.8456
"2022-09";534.66;568.75;11.623;12.3641
"2020-09";278.8;286.5;6.0609;6.2283
"2022-07";534.66;568.75;11.623;12.3641
"2023-03";;;;
"2019-03";287.8;290.7;6.2565;6.3196
"2021-12";304;326.2;6.6087;7.0913
"2022-05";381.1;431;8.2848;9.3696
"2022-06";381.1;431;8.2848;9.3696
"2018-11";282.7;283.1;6.1456;6.1543
"2018-04";263.2;276.8;5.7217;6.0174
"2017-12";263;270.1;5.7174;5.8717
"2021-09";282.6;305.8;6.1435;6.6478
"2022-01";340.3;338.3;7.3978;7.3543
"2020-07";278.8;286.5;6.0609;6.2283
"2020-01";294.9;311.5;6.4109;6.7717
"2019-01";287.8;290.7;6.2565;6.3196
"2021-01";283.8;290;6.1696;6.3043
"2020-08";278.8;286.5;6.0609;6.2283
"2020-03";294.9;311.5;6.4109;6.7717
"2019-12";293.3;318.7;6.3761;6.9283
"2019-05";272.5;285.5;5.9239;6.2065
"2019-02";287.8;290.7;6.2565;6.3196
"2018-12";282.7;283.1;6.1456;6.1543
"2018-05";263.2;276.8;5.7217;6.0174
"2022-02";340.3;338.3;7.3978;7.3543
"2020-05";271.3;285.4;5.8978;6.2043
"2019-07";278;292.9;6.0435;6.3674
"2018-02";272.6;275.6;5.9261;5.9913
"2022-12";609.6;636.9;13.2522;13.8456
"2022-04";381.1;431;8.2848;9.3696
"2021-02";283.8;290;6.1696;6.3043
"2020-06";271.3;285.4;5.8978;6.2043
"2020-04";271.3;285.4;5.8978;6.2043
"2022-08";534.66;568.75;11.623;12.3641
"2021-06";271;293.8;5.8913;6.3869
"2019-10";293.3;318.7;6.3761;6.9283
"2019-08";278;292.9;6.0435;6.3674
"2018-07";262;278.2;5.6956;6.0478
"2021-11";304;326.2;6.6087;7.0913
"2021-05";271;293.8;5.8913;6.3869
"2019-11";293.3;318.7;6.3761;6.9283
"2019-09";278;292.9;6.0435;6.3674
"2018-06";263.2;276.8;5.7217;6.0174
"2018-01";272.6;275.6;5.9261;5.9913
"2021-10";304;326.2;6.6087;7.0913
"2021-07";282.6;305.8;6.1435;6.6478
"2019-06";272.5;285.5;5.9239;6.2065
"2019-04";272.5;285.5;5.9239;6.2065
"2018-10";282.7;283.1;6.1456;6.1543
"2020-12";286.7;304.2;6.2326;6.613
"2018-03";272.6;275.6;5.9261;5.9913
"2020-10";286.7;304.2;6.2326;6.613
"2020-02";294.9;311.5;6.4109;6.7717
"2018-08";262;278.2;5.6956;6.0478
"2021-04";271;293.8;5.8913;6.3869
"2020-11";286.7;304.2;6.2326;6.613
"2018-09";262;278.2;5.6956;6.0478
"2014-08";278.5;296;6.0543;6.4348
"2017-09";255.09;262.5;5.5454;5.7065
"2016-05";251.32;261.36;5.4635;5.6817
