"Période";"Prix au détail d'une tonne FOL HTS";"Prix au détail d'une tonne FOL BTS";"Prix au détail d'une tonne OL TBTS";"Prix au détail de 100 kWh PCI de FOL HTS";"Prix au détail de 100 kWh PCI de FOL BTS";"Prix au détail de 100 kWh PCI de FOL TBTS"
"PERIODE";"PX_PETRO_FOL_HTS_TONNE";"PX_PETRO_FOL_BTS_TONNE";"PX_PETRO_FOL_TBTS_TONNE";"PX_PETRO_FOL_HTS_100KWH";"PX_PETRO_FOL_BTS_100KWH";"PX_PETRO_FOL_TBTS_100KWH"
"2021-12";;;650.6;;;5.8718
"2020-03";;;414.188;;;3.7382
"2021-09";;;622.8525;;;5.6214
"2023-02";;;672.36;;;6.0682
"2021-05";;;563.533;;;5.086
"2020-08";;;454.403;;;4.1011
"2020-01";;;631.904;;;5.7031
"2019-11";;;567.958;;;5.126
"2019-01";;;531.248;;;4.7947
"2018-01";;;527.34;;;4.7594
"2022-12";;;658.664;;;5.9446
"2022-01";;;701.175;;;6.3283
"2021-02";;;560.395;;;5.0577
"2020-06";;;434.36;;;3.9202
"2019-09";;;550.118;;;4.965
"2018-12";;;517.4;;;4.6697
"2021-11";;;676.1975;;;6.1029
"2021-04";;;565.212;;;5.1012
"2020-11";;;470.39;;;4.2454
"2017-12";;;472.552;;;4.2649
"2022-07";;;820.73;;;7.4073
"2021-07";;;608.39;;;5.4909
"2021-01";;;508.392;;;4.5884
"2020-10";;;453.144;;;4.0897
"2022-09";;;794.816;;;7.1734
"2021-10";;;674.782;;;6.0901
"2020-07";;;447.288;;;4.0369
"2020-02";;;559.733;;;5.0517
"2018-10";;;628.115;;;5.6689
"2022-04";;;826.086;;;7.4556
"2022-08";;;823.2075;;;7.4297
"2019-07";;;583.515;;;5.2664
"2019-04";;;588.653;;;5.3128
"2018-03";;;506.378;;;4.5702
"2019-06";;;569.27;;;5.1378
"2018-06";;;585.02;;;5.28
"2018-05";;;573.26;;;5.1738
"2023-01";;;649.6075;;;5.8629
"2022-03";;;877.46;;;7.9193
"2020-04";;;359.808;;;3.2474
"2019-10";;;565.643;;;5.1051
"2018-07";;;588.545;;;5.3118
"2018-04";;;525.655;;;4.7442
"2022-02";;;752.3425;;;6.7901
"2020-09";;;440.515;;;3.9758
"2020-05";;;380.708;;;3.436
"2019-08";;;553.306;;;4.9937
"2019-03";;;579.074;;;5.2263
"2021-08";;;592.4925;;;5.3474
"2023-03";;;646.928;;;5.8387
"2022-05";;;840.31;;;7.584
"2018-11";;;582.544;;;5.2576
"2022-11";;;735.21;;;6.6355
"2022-06";;;862.265;;;7.7822
"2021-03";;;579.478;;;5.2299
"2019-12";;;613.81;;;5.5398
"2019-05";;;590.81;;;5.3322
"2019-02";;;565.663;;;5.1053
"2018-09";;;591.833;;;5.3415
"2022-10";;;790.2275;;;7.132
"2021-06";;;582.515;;;5.2574
"2020-12";;;488.22;;;4.4063
"2018-08";;;582.866;;;5.2605
"2018-02";;;508.35;;;4.588
"2017-07";;;424.208;;;3.8286
"2016-05";;;329.6;;;2.9747
"2015-08";;;351.99;;;3.1768
"2015-03";;;403.26;;;3.6395
"2012-11";;;563.36;;;5.0845
"2012-09";;;641.34;;;5.7883
"2011-11";;;553.61;;;4.9965
"2006-01";252.3;283.73;302.81;2.2771;2.5607;2.7329
"2004-09";161.55;177.49;184.82;1.458;1.6019;1.6681
"2004-01";140.15;159.14;175.92;1.2649;1.4363;1.5877
"2002-12";153.6;181.78;205.5;1.3863;1.6406;1.8547
"2001-10";153.2113;166.3219;175.0115;1.3828;1.5011;1.5795
"2001-07";158.0896;180.3472;196.9641;1.4268;1.6277;1.7777
"2001-04";146.0462;178.3654;203.6719;1.3181;1.6098;1.8382
"1998-11";88.7253;89.0302;99.0919;0.8008;0.8035;0.8943
"1997-12";114.7941;121.0445;131.5635;1.036;1.0925;1.1874
"1997-11";132.6306;140.8629;153.3637;1.197;1.2713;1.3841
"1996-07";102.9031;112.6598;125.9229;0.9287;1.0168;1.1365
"1994-02";104.73;114.79;;0.95;1.04;
"1993-10";88.72;107.17;;0.8;0.97;
"1992-08";95.1;108.74;;0.86;0.98;
"1992-04";95.1;103.4;;0.86;0.93;
"1990-01";123.02;;;1.11;;
"1986-10";140.55;;;1.27;;
"1986-05";136.74;;;1.23;;
"2013-04";;;549;;;4.9549
"2013-02";;;601.81;;;5.4315
"2012-12";;;538.86;;;4.8634
"2012-03";;;654.45;;;5.9066
"2010-09";;;412.39;;;3.7219
"2008-12";195.5;227.69;246.03;1.7644;2.055;2.2205
"2008-11";198.96;248.95;284.02;1.7957;2.2468;2.5634
"2007-05";261.92;279.54;290.43;2.3639;2.5229;2.6212
"2006-03";275.54;299.92;313.24;2.4868;2.7069;2.8271
"2006-02";279.78;308.42;325.33;2.5251;2.7836;2.9362
"2003-09";155.7;169.94;181.19;1.4052;1.5337;1.6353
"2000-11";191.476;224.2525;248.3394;1.7281;2.0239;2.2413
"1996-05";121.3494;130.6488;;1.0952;1.1791;
"1994-11";117.69;123.17;;1.06;1.11;
"1994-08";105.49;116.31;;0.95;1.05;
"1993-02";94.67;115.09;;0.85;1.04;
"1992-03";97.38;102.64;;0.88;0.93;
"1992-02";87.47;;;0.79;;
"1991-02";95.38;;;0.86;;
"1990-12";137.2;;;1.24;;
"1990-07";89.18;;;0.8;;
"1989-10";125.31;;;1.13;;
"1989-09";115.4;;;1.04;;
"1988-04";105.79;;;0.95;;
"1987-12";109;;;0.98;;
"1987-09";132.63;;;1.2;;
"1986-12";136.74;;;1.23;;
"2013-05";;;557.94;;;5.0356
"2012-04";;;647.97;;;5.8481
"2011-06";;;532.29;;;4.8041
"2010-01";;;388.75;;;3.5086
"2009-01";209.44;226.14;232.95;1.8902;2.041;2.1024
"2007-11";349.99;369.31;380.76;3.1588;3.3331;3.4365
"2006-10";250.45;256.94;260.4;2.2604;2.319;2.3502
"2004-08";168.65;182.54;189;1.5221;1.6475;1.7058
"2004-05";173.41;192.32;204.5;1.5651;1.7357;1.8457
"2000-08";161.596;181.7192;200.4705;1.4585;1.6401;1.8093
"2000-05";154.8882;181.5668;200.6229;1.3979;1.6387;1.8107
"1999-02";85.9812;86.7435;93.4512;0.776;0.7829;0.8434
"1997-06";108.3912;116.6235;125.7704;0.9783;1.0526;1.1351
"1996-01";120.7396;129.8866;;1.0897;1.1723;
"1995-04";114.9466;120.4347;;1.0374;1.087;
"1993-05";96.19;118.14;;0.87;1.07;
"1992-09";96.62;107.21;;0.87;0.97;
"1990-03";108.23;;;0.98;;
"1988-02";89.03;;;0.8;;
"1987-08";152.44;;;1.38;;
"1987-05";141.01;;;1.27;;
"2017-02";;;475.545;;;4.2919
"2016-07";;;361.28;;;3.2606
"2014-07";;;531.75;;;4.7992
"2011-03";;;528.62;;;4.7709
"2008-10";275.76;307.19;329.74;2.4888;2.7725;2.976
"2007-04";260.43;273.15;279.12;2.3504;2.4653;2.5191
"2007-02";222.19;233.66;239.47;2.0053;2.1088;2.1613
"2006-12";231.26;243.22;250.64;2.0872;2.1951;2.2621
"2004-10";171.38;196.85;211.66;1.5468;1.7766;1.9103
"2001-02";154.7357;176.0786;193.9152;1.3965;1.5892;1.7501
"1999-09";140.2531;142.9972;151.6868;1.2658;1.2906;1.369
"1999-04";99.0919;100.159;108.5437;0.8943;0.904;0.9796
"1997-01";131.411;133.088;139.7957;1.186;1.2012;1.2617
"1996-06";97.8723;108.6962;;0.8833;0.981;
"1995-10";105.0374;109.7633;;0.948;0.9906;
"1995-07";97.4149;108.2388;;0.8792;0.9769;
"1994-09";91.77;102.59;;0.83;0.93;
"1994-07";112.35;116.31;;1.01;1.05;
"1991-04";89.44;;;0.81;;
"1986-08";126.07;;;1.14;;
"1986-02";163.57;;;1.48;;
"2017-05";;;443.633;;;4.0039
"2017-08";;;426.533;;;3.8496
"2010-10";;;392.79;;;3.545
"2010-06";;;422.81;;;3.816
"2009-10";334.2;347.66;354.09;3.0162;3.1377;3.1958
"2006-06";269.41;289.59;301;2.4315;2.6136;2.7166
"2003-08";171.33;192.82;209.81;1.5463;1.7403;1.8936
"2001-09";174.7066;193.3054;205.0439;1.5768;1.7446;1.8506
"2000-10";220.8986;237.3631;274.4082;1.9937;2.1423;2.4766
"2000-06";164.4925;199.7082;215.8678;1.4846;1.8024;1.9483
"2000-01";146.8084;158.6994;169.6758;1.325;1.4323;1.5314
"1999-08";132.1733;135.9845;145.4364;1.1929;1.2273;1.3126
"1998-04";101.531;108.0864;117.5382;0.9164;0.9755;1.0608
"1997-08";117.3857;122.7215;131.411;1.0594;1.1076;1.186
"1997-04";107.9339;113.1172;122.7215;0.9741;1.0209;1.1076
"1996-12";128.667;137.3566;149.4;1.1612;1.2397;1.3484
"1994-12";114.64;120.89;;1.03;1.09;
"1993-09";87.96;104.88;;0.79;0.95;
"1992-07";98.15;105.69;;0.89;0.95;
"1991-08";95.53;;;0.86;;
"1989-08";110.83;;;1;;
"1989-07";114.64;;;1.03;;
"1987-04";137.96;;;1.25;;
"1986-03";160.52;;;1.45;;
"2017-04";;;459.765;;;4.1495
"2013-12";;;534.31;;;4.8223
"2013-01";;;561.34;;;5.0662
"2012-06";;;556.16;;;5.0195
"2012-02";;;629;;;5.6769
"2010-12";;;439.49;;;3.9665
