"Période";"Prix au détail de l'électricité hors TVA tranches IA à IF";"Prix au détail de l'électricité hors TVA tranche IA";"Prix au détail de l'électricité hors TVA tranche IB";"Prix au détail de l'électricité hors TVA tranche IC";"Prix au détail de l'électricité hors TVA tranche ID";"Prix au détail de l'électricité hors TVA tranche IE";"Prix au détail de l'électricité hors TVA tranche IF";"Prix au détail de l'électricité hors TVA tranche IG";"Prix au détail de l'électricité hors TVA toutes tranches"
"PERIODE";"PX_ELE_I_TRANCHES_IA_IF";"PX_ELE_I_IA";"PX_ELE_I_IB";"PX_ELE_I_IC";"PX_ELE_I_ID";"PX_ELE_I_IE";"PX_ELE_I_IF";"PX_ELE_I_IG";"PX_ELE_I_TTES_TRANCHES"
"2022-09";;;;;;;;;
"2022-02";14.927;25.4705;15.6885;12.7891;12.5755;11.4704;12.2864;9.1036;13.8588
"2022-11";;;;;;;;;
"2022-03";14.927;25.4705;15.6885;12.7891;12.5755;11.4704;12.2864;9.1036;13.8588
"2022-12";;;;;;;;;
"2020-10";10.508;18.1487;12.6901;9.537;8.0706;6.8169;5.9632;5.1411;9.5016
"2022-05";14.927;25.4705;15.6885;12.7891;12.5755;11.4704;12.2864;9.1036;13.8588
"2020-04";11.3534;16.9017;14.2213;10.5682;8.5066;7.1262;5.879;5.3489;10.317
"2021-02";11.693;17.6366;14.5036;10.567;8.7009;7.5161;6.5784;5.5364;10.5551
"2019-08";10.3316;17.039;12.7134;9.5007;7.8859;6.5049;5.7778;4.8758;9.255
"2020-11";10.508;18.1487;12.6901;9.537;8.0706;6.8169;5.9632;5.1411;9.5016
"2022-08";;;;;;;;;
"2020-09";10.508;18.1487;12.6901;9.537;8.0706;6.8169;5.9632;5.1411;9.5016
"2019-10";10.3316;17.039;12.7134;9.5007;7.8859;6.5049;5.7778;4.8758;9.255
"2012-09";8.9258;14.4223;10.2053;7.9538;7.0044;6.7063;5.6884;;
"2012-02";9.2317;11.6912;10.0809;9.4902;8.1143;7.2518;6.5944;;
"2011-12";8.7306;13.1682;9.852;8.0712;7.0106;6.3321;5.6042;;
"2008-01";7.446;10.5248;8.577;6.5048;5.7588;6.2952;6.0395;;
"2007-11";6.4522;10.6526;7.4068;5.732;5.1914;5.4893;5.1591;;
"2023-01";;;;;;;;;
"2023-03";;;;;;;;;
"2023-02";;;;;;;;;
"2021-10";11.3089;18.384;13.0059;10.1751;8.8205;8.5905;8.8288;7.6694;10.5969
"2020-06";11.3534;16.9017;14.2213;10.5682;8.5066;7.1262;5.879;5.3489;10.317
"2017-02";9.87;14.9342;12.257;9.7758;7.8363;6.3228;5.2794;4.6818;9.0238
"2016-01";9.7251;14.5745;11.7592;9.6151;7.9049;6.4838;5.4212;;
"2014-09";9.7476;14.2966;11.4591;9.3841;8.0727;7.0756;5.4689;;
"2013-03";9.9596;12.8779;10.9721;9.6794;8.3402;7.3517;6.6023;;
"2011-08";8.7306;13.1682;9.852;8.0712;7.0106;6.3321;5.6042;;
"2010-10";7.8173;12.6135;8.8961;7.1617;6.2616;6.0504;5.4639;;
"2010-06";8.3315;11.4639;9.4029;7.7809;6.956;6.9102;6.2134;;
"2010-01";8.3315;11.4639;9.4029;7.7809;6.956;6.9102;6.2134;;
"2021-12";11.3089;18.384;13.0059;10.1751;8.8205;8.5905;8.8288;7.6694;10.5969
"2021-11";11.3089;18.384;13.0059;10.1751;8.8205;8.5905;8.8288;7.6694;10.5969
"2021-01";11.693;17.6366;14.5036;10.567;8.7009;7.5161;6.5784;5.5364;10.5551
"2018-09";9.5891;16.2098;12.054;8.894;7.2352;6.2807;5.7795;4.5499;8.6159
"2016-10";9.4035;14.4877;11.1051;9.0319;7.5601;6.5033;5.4675;;
"2013-08";9.422;14.5293;11.209;8.5528;7.4335;6.8908;5.4871;;
"2008-12";6.9974;11.3775;7.9578;6.1566;5.5346;5.8835;5.3944;;
"2019-02";10.7301;15.7085;13.1134;10.2446;8.3535;7.1686;6.0369;5.0386;9.5951
"2018-08";9.5891;16.2098;12.054;8.894;7.2352;6.2807;5.7795;4.5499;8.6159
"2015-06";10.5604;14.6006;12.3222;10.2697;8.9509;7.8406;6.6149;;
"2014-05";10.2019;13.7106;11.7748;9.8615;8.4498;7.496;6.6768;;
"2013-04";9.9596;12.8779;10.9721;9.6794;8.3402;7.3517;6.6023;;
"2012-04";9.2317;11.6912;10.0809;9.4902;8.1143;7.2518;6.5944;;
"2011-09";8.7306;13.1682;9.852;8.0712;7.0106;6.3321;5.6042;;
"2011-06";8.8592;12.3993;10.128;8.4868;7.4244;7.1528;6.3144;;
"2009-12";7.3567;11.3527;8.4381;6.4772;6.123;6.2968;5.3734;;
"2007-06";7.1461;10.6553;8.4339;6.5007;5.5914;5.3662;5.2389;;
"2020-05";11.3534;16.9017;14.2213;10.5682;8.5066;7.1262;5.879;5.3489;10.317
"2019-11";10.3316;17.039;12.7134;9.5007;7.8859;6.5049;5.7778;4.8758;9.255
"2016-11";9.4035;14.4877;11.1051;9.0319;7.5601;6.5033;5.4675;;
"2016-02";9.7251;14.5745;11.7592;9.6151;7.9049;6.4838;5.4212;;
"2014-04";10.2019;13.7106;11.7748;9.8615;8.4498;7.496;6.6768;;
"2013-01";9.9596;12.8779;10.9721;9.6794;8.3402;7.3517;6.6023;;
"2012-01";9.2317;11.6912;10.0809;9.4902;8.1143;7.2518;6.5944;;
"2009-01";7.9844;11.2096;9.2128;7.2452;6.8595;7.1306;6.077;;
"2008-08";6.9974;11.3775;7.9578;6.1566;5.5346;5.8835;5.3944;;
"2022-04";14.927;25.4705;15.6885;12.7891;12.5755;11.4704;12.2864;9.1036;13.8588
"2022-01";14.927;25.4705;15.6885;12.7891;12.5755;11.4704;12.2864;9.1036;13.8588
"2021-06";11.693;17.6366;14.5036;10.567;8.7009;7.5161;6.5784;5.5364;10.5551
"2020-12";10.508;18.1487;12.6901;9.537;8.0706;6.8169;5.9632;5.1411;9.5016
"2018-10";9.5891;16.2098;12.054;8.894;7.2352;6.2807;5.7795;4.5499;8.6159
"2018-05";10.1527;15.0834;12.6311;9.816;7.7302;6.417;5.8064;4.6134;9.1587
"2014-03";10.2019;13.7106;11.7748;9.8615;8.4498;7.496;6.6768;;
"2013-09";9.422;14.5293;11.209;8.5528;7.4335;6.8908;5.4871;;
"2013-02";9.9596;12.8779;10.9721;9.6794;8.3402;7.3517;6.6023;;
"2012-11";8.9258;14.4223;10.2053;7.9538;7.0044;6.7063;5.6884;;
"2011-11";8.7306;13.1682;9.852;8.0712;7.0106;6.3321;5.6042;;
"2010-11";7.8173;12.6135;8.8961;7.1617;6.2616;6.0504;5.4639;;
"2010-09";7.8173;12.6135;8.8961;7.1617;6.2616;6.0504;5.4639;;
"2010-05";8.3315;11.4639;9.4029;7.7809;6.956;6.9102;6.2134;;
"2009-09";7.3567;11.3527;8.4381;6.4772;6.123;6.2968;5.3734;;
"2008-10";6.9974;11.3775;7.9578;6.1566;5.5346;5.8835;5.3944;;
"2007-08";6.4522;10.6526;7.4068;5.732;5.1914;5.4893;5.1591;;
"2021-08";11.3089;18.384;13.0059;10.1751;8.8205;8.5905;8.8288;7.6694;10.5969
"2021-04";11.693;17.6366;14.5036;10.567;8.7009;7.5161;6.5784;5.5364;10.5551
"2020-08";10.508;18.1487;12.6901;9.537;8.0706;6.8169;5.9632;5.1411;9.5016
"2020-03";11.3534;16.9017;14.2213;10.5682;8.5066;7.1262;5.879;5.3489;10.317
"2018-03";10.1527;15.0834;12.6311;9.816;7.7302;6.417;5.8064;4.6134;9.1587
"2015-01";10.5604;14.6006;12.3222;10.2697;8.9509;7.8406;6.6149;;
"2014-02";10.2019;13.7106;11.7748;9.8615;8.4498;7.496;6.6768;;
"2013-12";9.422;14.5293;11.209;8.5528;7.4335;6.8908;5.4871;;
"2012-03";9.2317;11.6912;10.0809;9.4902;8.1143;7.2518;6.5944;;
"2011-03";8.8592;12.3993;10.128;8.4868;7.4244;7.1528;6.3144;;
"2010-02";8.3315;11.4639;9.4029;7.7809;6.956;6.9102;6.2134;;
"2008-09";6.9974;11.3775;7.9578;6.1566;5.5346;5.8835;5.3944;;
"2007-10";6.4522;10.6526;7.4068;5.732;5.1914;5.4893;5.1591;;
"2021-07";11.3089;18.384;13.0059;10.1751;8.8205;8.5905;8.8288;7.6694;10.5969
"2019-05";10.7301;15.7085;13.1134;10.2446;8.3535;7.1686;6.0369;5.0386;9.5951
"2017-09";9.5213;15.1393;11.8137;9.2027;7.4066;6.1566;5.1684;4.6779;8.6533
"2017-06";9.87;14.9342;12.257;9.7758;7.8363;6.3228;5.2794;4.6818;9.0238
"2017-01";9.87;14.9342;12.257;9.7758;7.8363;6.3228;5.2794;4.6818;9.0238
"2015-12";10.0098;15.5382;11.898;9.5069;8.4717;7.1947;5.557;;
"2014-12";9.7476;14.2966;11.4591;9.3841;8.0727;7.0756;5.4689;;
"2014-10";9.7476;14.2966;11.4591;9.3841;8.0727;7.0756;5.4689;;
"2009-08";7.3567;11.3527;8.4381;6.4772;6.123;6.2968;5.3734;;
"2009-07";7.3567;11.3527;8.4381;6.4772;6.123;6.2968;5.3734;;
"2019-12";10.3316;17.039;12.7134;9.5007;7.8859;6.5049;5.7778;4.8758;9.255
"2019-07";10.3316;17.039;12.7134;9.5007;7.8859;6.5049;5.7778;4.8758;9.255
"2019-03";10.7301;15.7085;13.1134;10.2446;8.3535;7.1686;6.0369;5.0386;9.5951
"2018-02";10.1527;15.0834;12.6311;9.816;7.7302;6.417;5.8064;4.6134;9.1587
"2017-05";9.87;14.9342;12.257;9.7758;7.8363;6.3228;5.2794;4.6818;9.0238
"2016-12";9.4035;14.4877;11.1051;9.0319;7.5601;6.5033;5.4675;;
"2016-09";9.4035;14.4877;11.1051;9.0319;7.5601;6.5033;5.4675;;
"2015-11";10.0098;15.5382;11.898;9.5069;8.4717;7.1947;5.557;;
"2015-05";10.5604;14.6006;12.3222;10.2697;8.9509;7.8406;6.6149;;
"2014-11";9.7476;14.2966;11.4591;9.3841;8.0727;7.0756;5.4689;;
"2009-06";7.9844;11.2096;9.2128;7.2452;6.8595;7.1306;6.077;;
"2009-05";7.9844;11.2096;9.2128;7.2452;6.8595;7.1306;6.077;;
"2021-03";11.693;17.6366;14.5036;10.567;8.7009;7.5161;6.5784;5.5364;10.5551
"2020-07";10.508;18.1487;12.6901;9.537;8.0706;6.8169;5.9632;5.1411;9.5016
"2020-02";11.3534;16.9017;14.2213;10.5682;8.5066;7.1262;5.879;5.3489;10.317
"2019-04";10.7301;15.7085;13.1134;10.2446;8.3535;7.1686;6.0369;5.0386;9.5951
"2018-07";9.5891;16.2098;12.054;8.894;7.2352;6.2807;5.7795;4.5499;8.6159
"2017-03";9.87;14.9342;12.257;9.7758;7.8363;6.3228;5.2794;4.6818;9.0238
"2016-08";9.4035;14.4877;11.1051;9.0319;7.5601;6.5033;5.4675;;
"2015-10";10.0098;15.5382;11.898;9.5069;8.4717;7.1947;5.557;;
"2012-12";8.9258;14.4223;10.2053;7.9538;7.0044;6.7063;5.6884;;
"2012-06";9.2317;11.6912;10.0809;9.4902;8.1143;7.2518;6.5944;;
"2012-05";9.2317;11.6912;10.0809;9.4902;8.1143;7.2518;6.5944;;
"2010-08";7.8173;12.6135;8.8961;7.1617;6.2616;6.0504;5.4639;;
"2009-04";7.9844;11.2096;9.2128;7.2452;6.8595;7.1306;6.077;;
"2018-06";10.1527;15.0834;12.6311;9.816;7.7302;6.417;5.8064;4.6134;9.1587
"2018-01";10.1527;15.0834;12.6311;9.816;7.7302;6.417;5.8064;4.6134;9.1587
"2017-12";9.5213;15.1393;11.8137;9.2027;7.4066;6.1566;5.1684;4.6779;8.6533
"2016-04";9.7251;14.5745;11.7592;9.6151;7.9049;6.4838;5.4212;;
"2009-10";7.3567;11.3527;8.4381;6.4772;6.123;6.2968;5.3734;;
"2008-07";6.9974;11.3775;7.9578;6.1566;5.5346;5.8835;5.3944;;
"2008-06";7.446;10.5248;8.577;6.5048;5.7588;6.2952;6.0395;;
"2007-12";6.4522;10.6526;7.4068;5.732;5.1914;5.4893;5.1591;;
"2018-04";10.1527;15.0834;12.6311;9.816;7.7302;6.417;5.8064;4.6134;9.1587
"2017-07";9.5213;15.1393;11.8137;9.2027;7.4066;6.1566;5.1684;4.6779;8.6533
"2017-04";9.87;14.9342;12.257;9.7758;7.8363;6.3228;5.2794;4.6818;9.0238
"2016-03";9.7251;14.5745;11.7592;9.6151;7.9049;6.4838;5.4212;;
"2014-08";9.7476;14.2966;11.4591;9.3841;8.0727;7.0756;5.4689;;
"2014-06";10.2019;13.7106;11.7748;9.8615;8.4498;7.496;6.6768;;
"2013-11";9.422;14.5293;11.209;8.5528;7.4335;6.8908;5.4871;;
"2013-10";9.422;14.5293;11.209;8.5528;7.4335;6.8908;5.4871;;
"2013-07";9.422;14.5293;11.209;8.5528;7.4335;6.8908;5.4871;;
"2013-05";9.9596;12.8779;10.9721;9.6794;8.3402;7.3517;6.6023;;
"2012-07";8.9258;14.4223;10.2053;7.9538;7.0044;6.7063;5.6884;;
"2009-11";7.3567;11.3527;8.4381;6.4772;6.123;6.2968;5.3734;;
"2007-07";6.4522;10.6526;7.4068;5.732;5.1914;5.4893;5.1591;;
"2007-04";7.1461;10.6553;8.4339;6.5007;5.5914;5.3662;5.2389;;
"2020-01";11.3534;16.9017;14.2213;10.5682;8.5066;7.1262;5.879;5.3489;10.317
"2019-09";10.3316;17.039;12.7134;9.5007;7.8859;6.5049;5.7778;4.8758;9.255
"2019-06";10.7301;15.7085;13.1134;10.2446;8.3535;7.1686;6.0369;5.0386;9.5951
"2015-08";10.0098;15.5382;11.898;9.5069;8.4717;7.1947;5.557;;
"2015-07";10.0098;15.5382;11.898;9.5069;8.4717;7.1947;5.557;;
"2014-01";10.2019;13.7106;11.7748;9.8615;8.4498;7.496;6.6768;;
"2013-06";9.9596;12.8779;10.9721;9.6794;8.3402;7.3517;6.6023;;
"2010-07";7.8173;12.6135;8.8961;7.1617;6.2616;6.0504;5.4639;;
"2008-03";7.446;10.5248;8.577;6.5048;5.7588;6.2952;6.0395;;
"2007-05";7.1461;10.6553;8.4339;6.5007;5.5914;5.3662;5.2389;;
"2018-11";9.5891;16.2098;12.054;8.894;7.2352;6.2807;5.7795;4.5499;8.6159
"2017-10";9.5213;15.1393;11.8137;9.2027;7.4066;6.1566;5.1684;4.6779;8.6533
"2016-07";9.4035;14.4877;11.1051;9.0319;7.5601;6.5033;5.4675;;
"2015-04";10.5604;14.6006;12.3222;10.2697;8.9509;7.8406;6.6149;;
"2014-07";9.7476;14.2966;11.4591;9.3841;8.0727;7.0756;5.4689;;
"2011-10";8.7306;13.1682;9.852;8.0712;7.0106;6.3321;5.6042;;
"2011-04";8.8592;12.3993;10.128;8.4868;7.4244;7.1528;6.3144;;
