"Période";"Prix au détail du gaz hors TVA tranches I1 à I5";"Prix au détail du gaz hors TVA tranche I1";"Prix au détail du gaz hors TVA tranche I2";"Prix au détail du gaz hors TVA tranche I3";"Prix au détail du gaz hors TVA tranche I4";"Prix au détail du gaz hors TVA tranche I5";"Prix au détail du gaz hors TVA tranche I6";"Prix au détail du gaz hors TVA toutes tranches"
"PERIODE";"PX_GAZ_I_TRANCHES_I1_I5";"PX_GAZ_I_I1";"PX_GAZ_I_I2";"PX_GAZ_I_I3";"PX_GAZ_I_I4";"PX_GAZ_I_I5";"PX_GAZ_I_I6";"PX_GAZ_I_TTES_TRANCHES"
"2022-11";;;;;;;;
"2021-10";5.2219;6.1549;5.7003;5.0395;4.6738;5.2834;6.5276;5.3684
"2019-07";3.5628;5.6343;4.8327;3.6779;2.4966;1.6934;1.3861;3.349
"2018-10";3.8;5.6529;4.8678;3.8982;2.7305;2.3291;2.5755;3.6698
"2018-07";3.8;5.6529;4.8678;3.8982;2.7305;2.3291;2.5755;3.6698
"2018-03";3.5166;4.9695;4.0226;3.5287;2.787;2.1509;2.2037;3.4219
"2022-06";6.4458;6.7452;6.349;6.1313;6.2777;7.2268;8.4611;6.6095
"2023-02";;;;;;;;
"2023-03";;;;;;;;
"2023-01";;;;;;;;
"2021-09";5.2219;6.1549;5.7003;5.0395;4.6738;5.2834;6.5276;5.3684
"2022-02";6.4458;6.7452;6.349;6.1313;6.2777;7.2268;8.4611;6.6095
"2020-12";3.1869;5.8047;4.6769;3.4941;2.0991;1.3372;1.1573;2.9891
"2021-03";3.3661;4.9244;4.2208;3.4314;2.3034;2.0042;2.1664;3.2628
"2022-12";;;;;;;;
"2022-09";;;;;;;;
"2022-10";;;;;;;;
"2021-12";5.2219;6.1549;5.7003;5.0395;4.6738;5.2834;6.5276;5.3684
"2020-05";3.3978;5.1695;4.3822;3.3898;2.1355;1.3875;1.0626;3.2189
"2022-01";6.4458;6.7452;6.349;6.1313;6.2777;7.2268;8.4611;6.6095
"2022-05";6.4458;6.7452;6.349;6.1313;6.2777;7.2268;8.4611;6.6095
"2021-07";5.2219;6.1549;5.7003;5.0395;4.6738;5.2834;6.5276;5.3684
"2021-05";3.3661;4.9244;4.2208;3.4314;2.3034;2.0042;2.1664;3.2628
"2020-01";3.3978;5.1695;4.3822;3.3898;2.1355;1.3875;1.0626;3.2189
"2019-06";3.7394;5.1748;4.539;3.7909;2.6906;2.0717;1.8675;3.5908
"2018-09";3.8;5.6529;4.8678;3.8982;2.7305;2.3291;2.5755;3.6698
"2021-06";3.3661;4.9244;4.2208;3.4314;2.3034;2.0042;2.1664;3.2628
