"Période";"Production totale brute d'électricité (en GWh)";"Production totale nette d'électricité (en GWh)";"Production brute d'électricité nucléaire (en GWh)";"Production nette d'électricité nucléaire (en GWh)";"Production brute d'électricité hydraulique (en GWh)";"Production nette d'électricité hydraulique (en GWh)";"Production brute d'électricité éolienne (en GWh)";"Production nette d'électricité éolienne (en GWh)";"Production brute d'électricité photovoltaïque (en GWh)";"Production nette d'électricité photovoltaïque (en GWh)";"Production brute d'électricité thermique (en GWh)";"Production nette d'électricité thermique (en GWh)";"Électricité absorbée pour les pompages (en GWh)";"Total des importations physiques d'électricité (en GWh)";"Total des exportations physiques d'électricité (en GWh)";"Energie appelée réelle yc pertes (consommation calculée yc pertes) (en GWh)";"Livraisons en basse tension (BT : FC + Corse) (en GWh)";"Livraisons en moyenne tension (MT : FC + Corse) (en GWh)";"Livraisons en haute tension (en GWh)";"Puissance maximale appelée (en GW)";"Solde des échanges physiques d'électricité (en GWh)";"Consommation d'électricité (hors pertes) CVC-CJO (en GWh)";"Livraisons en basse tension CVC-CJO (en GWh)";"Livraisons en moyenne tension CVC-CJO (en GWh)";"Livraisons en haute tension CVC-CJO (en GWh)";"Consommation d'électricité (hors pertes) CVS-CVC-CJO (en GWh)";"Livraisons en basse tension CVS-CVC-CJO (en GWh)";"Livraisons en moyenne tension CVS-CVC-CJO (en GWh)";"Livraisons en haute tension CVS-CVC-CJO (en GWh)";"Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"PERIODE";"PRODB_ELE";"PRODN_ELE";"PRODB_NUCL";"PRODN_NUCL";"PRODB_HYDRO";"PRODN_HYDRO";"PRODB_EOL";"PRODN_EOL";"PRODB_PV";"PRODN_PV";"PRODB_ELE_THERM";"PRODN_ELE_THERM";"STEP_ELE";"QIMP_ELE";"QEXP_ELE";"EAR_ELE";"LIV_ELE_BT";"LIV_ELE_MT";"LIV_ELE_HT";"PUISSMAX_ELE";"QSOLI_ELE";"CONSO_ELE_COR1";"LIV_ELE_BT_COR1";"LIV_ELE_MT_COR1";"LIV_ELE_HT_COR1";"CONSO_ELE_COR2";"LIV_ELE_BT_COR2";"LIV_ELE_MT_COR2";"LIV_ELE_HT_COR2";"DJU";"INDRIG"
"2023-02";45468.565;43557.787;30265.299;28787.11;3732.784;3687.065;3305.705;3305.705;1330.072;1330.072;6834.705;6447.835;564.79;3463.571;4328.23;42128.337;19379.196;12515.615;5426.144;81.526;-864.659;38135.628;19925.953;12720.979;5488.696;33128.463;15108.213;12243.722;5776.528;292.236;0.914
"2021-11";47098.224;45109.46;31874.728;30370.793;4135.775;4085.119;2715.441;2715.441;701.888;701.888;7670.392;7236.219;639.641;3621.338;2821.714;45269.443;19669.468;13864.251;6366.505;83.333;799.624;38456.858;18568.878;13633.285;6254.695;35359.48;15968.108;13190.272;6201.101;288.403;1.135
"2022-08";30754.649;29292.794;19319.365;18133.047;2789.415;2755.25;2079.099;2079.099;2302.551;2302.551;4264.219;4022.848;539.769;5122.696;1908.968;31966.754;10993.82;12197.314;5673.475;53.408;3213.728;28311.077;10993.82;11657.1;5660.157;35386.181;16203.651;13100.974;6081.557;0;1
"2022-12";47231.794;45184.952;29466.259;27912.397;5223.798;5159.816;4360.923;4360.923;601.844;601.844;7578.971;7149.973;836.715;5628.232;3737.842;46238.628;22258.788;13408.658;5542.644;84.041;1890.39;41648.027;22681.215;13396.681;5570.131;33011.622;15344.243;12324.077;5343.301;339.35;0.962
"2020-05";39936.322;38171.703;26251.095;24714.653;6838.991;6755.226;2661.28;2661.28;1633.674;1633.674;2551.282;2406.87;567.208;555.681;6948.632;31211.544;12041.409;10343.935;5323.436;52.802;-6392.951;28400.187;12429.009;10622.584;5348.594;32877.607;15931.577;11557.943;5388.086;58.632;0.747
"2020-11";47863.613;45883.208;33135.697;31565.645;4626.592;4569.925;3154.654;3154.654;698.229;698.229;6248.441;5894.756;548.953;1417.959;6195.919;40556.295;17249.131;12457.599;5978.183;76.117;-4777.96;37564.036;18685.235;12751.68;6127.121;34408.582;16009.679;12344.158;6054.746;206.465;0.812
"2020-04";39064.343;37385.834;28332.191;26823.538;5233.072;5168.977;2281.676;2281.676;1348.961;1348.961;1868.442;1762.681;573.465;738.124;6430.474;31120.019;13111.378;9842.274;4728.194;57.602;-5692.35;30264.63;15279.225;10151.304;4834.101;31714.93;16174.811;10545.328;4994.791;89.303;0.538
"2021-09";40763.729;38923.037;30600.74;29001.324;3539.94;3496.582;1665.31;1665.31;1461.182;1461.182;3496.559;3298.64;382.089;641.196;6428.377;32753.767;10869.757;12463.426;6203.101;54.403;-5787.181;29428.262;10869.757;12369.966;6188.539;35687.068;16199.775;13236.94;6250.353;0;1
"2021-01";58531.492;56223.07;38961.106;37176.882;7491.262;7399.508;3960.703;3960.703;478.565;478.565;7639.856;7207.411;474.706;3289.727;5279.381;53758.71;26040.063;14454.219;6655.702;88.44;-1989.654;46837.906;25548.83;14618.837;6670.239;35610.523;16622.305;12747.402;6240.816;385.513;1.039
"2020-09";34228.917;32628.133;23055.429;21739.674;3470.184;3427.681;2146.498;2146.498;1272.186;1272.186;4284.621;4042.095;437.551;3196.114;2644.174;32742.522;11108.231;12357.85;5927.785;57.531;551.94;29287.282;11108.231;12265.182;5913.869;35701.603;16574.247;13111.898;6015.457;0;1
"2020-06";36658.313;35003.219;22692.579;21334.969;6511.536;6431.782;2049.897;2049.897;1557.75;1557.75;3846.55;3628.821;431.32;1220.535;4541.422;31251.012;10908.036;11413.417;5526.161;54.564;-3320.887;27901.653;10908.036;11467.425;5526.192;34210.616;16400.261;12190.339;5620.016;0;1
"2019-02";52944.145;50898.556;37695.975;36089.935;5197.818;5134.154;2627.051;2627.051;782.661;782.661;6640.64;6264.755;438.612;961.316;6486.471;44934.789;19898.101;13483.079;6366.153;86.392;-5525.155;41738.965;21350.348;13914.101;6474.516;36190.941;16159.652;13380.822;6650.466;262.159;0.82
"2018-06";42867.113;41111.353;30153.651;28621.712;7782.742;7687.418;1372.644;1372.644;1287.967;1287.967;2270.109;2141.612;542.258;208.954;7809.733;32968.316;10548.786;12708.221;6517.511;55.872;-7600.779;29782.58;10548.786;12716.246;6517.548;36043.94;15874.578;13505.661;6663.7;0;1
"2020-12";53487.675;51327.234;36139.576;34432.46;5850.349;5778.693;4383.561;4383.561;371.38;371.38;6742.809;6361.14;633.856;2522.869;4966.75;48249.497;22562.148;13690.505;6372.681;79.629;-2443.881;43937.085;23647.409;13814.956;6474.72;34979.741;16018.191;12727.241;6234.309;318.167;0.902
"2022-09";30647.308;29209.77;19334.531;18190.496;2542.666;2511.523;2301.64;2301.64;1833.45;1833.45;4635.02;4372.661;595.774;5468.089;2149.851;31932.233;10749.935;12251.313;5704.4;53.664;3318.237;28600.387;10749.935;12159.443;5691.009;34730.782;15994.407;13017.582;5718.793;0;1
"2022-05";35624.397;34128.695;21713.389;20531.226;5148.918;5085.853;2072.847;2072.847;2264.212;2264.212;4425.03;4174.557;513.195;3083.201;3703.935;32994.766;11335.118;12384.762;6114.027;53.564;-620.734;30285.838;12120.883;12097.364;6067.59;34806.63;15530.203;13133.509;6142.919;37.956;0.484
"2023-01";54671.609;52427.852;32420.648;30770.959;6526.325;6446.389;5985.078;5985.078;656.539;656.539;9083.02;8568.887;693.04;4005.719;5344.412;50396.119;22503.725;13973.767;5715.106;84.533;-1338.692;43377.056;23515.48;14111.043;5750.533;32976.958;15302.024;12316.088;5358.846;336.034;0.906
"2022-11";38717.466;36955.842;22951.429;21597.264;3943.139;3894.843;4631.466;4631.466;846.226;846.226;6345.206;5986.044;765.249;4809.62;3732.479;37267.734;15504.157;12324.123;5395.087;69.528;1077.141;35335.505;17095.313;12680.455;5559.737;32531.537;14747.868;12263.921;5519.748;195.907;0.771
"2021-06";41365.446;39702.353;29141.966;27716.162;6374.576;6296.499;1355.056;1355.056;1681.095;1681.095;2812.753;2653.54;372.758;689.567;7539.794;32479.368;10767.789;12386.122;6176.258;55.966;-6850.227;29057.872;10767.789;12139.14;6150.943;35291.689;16159.019;12898.436;6234.234;0;1
