"Période";"1. Production primaire de gaz naturel (extraction de gaz commercialisé) (en TWh PCS)";"2. Total des importations de gaz naturel (en TWh PCS)";"2.1.1 Importations de gaz naturel de Norvège (en TWh PCS)";"2.1.2 Importations de gaz naturel d'Algérie  (en TWh PCS)";"2.1.3 Importations de gaz naturel de Russie (en TWh PCS)";"2.1.4 Importations de gaz naturel des Pays-Bas (en TWh PCS)";"2.1.5 Importations de gaz naturel du Nigéria (hors swaps, en TWh PCS)";"2.1.6 Importations de gaz naturel du Qatar (en TWh PCS)";"2.1.7 Importations de gaz naturel des pays autres que Norvège, Algérie, Russie, Nigéria, Pays-Bas et Qatar (en TWh PCS)";"3. Variation de stock utile (en TWh PCS)";"4. Consommation totale de gaz naturel (en TWh PCS)";"4.1 Consommation réelle de gaz naturel par les gros clients reliés au réseau de transport (en TWh PCS)";"4.1.1 Livraisons aux centrales à cycle combiné au gaz (CCCG) par GRTgaz (en TWh PCS)";"4.2 Consommation réelle de gaz naturel par les clients reliés au réseau de distribution (en TWh PCS)";"5. Consommation totale de gaz naturel corrigée du climat (en TWh PCS)";"5.1 Consommation sur le réseau de transport CVC-CJO (en TWh PCS)";"5.2 Consommation sur le réseau de distribution CVC-CJO (en TWh PCS)";"6. Consommation totale de gaz naturel CVS-CVC-CJO (en TWh PCS)";"6.1 Consommation sur le réseau de transport CVS-CVC-CJO (en TWh PCS)";"6.2 Consommation sur le réseau de distribution CVS-CVC-CJO (en TWh PCS)";"7. Stocks (gaz gazeux + GNL) utiles fin de mois (en TWh)";"8. Production de biométhane (en TWh PCS)";"9. Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"10. Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"PERIODE";"PRODRES_GAZ";"QSOLI_GAZ";"QIMPNOR_GAZ";"QIMPALG_GAZ";"QIMPRUS_GAZ";"QIMPNL_GAZ";"QIMPNIG_GAZ";"QIMPQAT_GAZ";"QIMPAUTR_GAZ";"VSTO_GAZ";"CONSO_GAZ";"LTRAN_GAZ";"LPE_GAZ";"LDIS_GAZ";"CONSO_GAZ_COR1";"CTRAN_GAZ_COR1";"CDIS_GAZ_COR1";"CONSO_GAZ_COR2";"CTRAN_GAZ_COR2";"CDIS_GAZ_COR2";"STO_GAZ";"PRODBIO_GAZ";"DJU";"INDRIG"
"2022-11";0.669;35.902;14.643;4.087;9.635;2.269;1.787;1.098;16.566;3.129;40.6;16.229;5.31;24.372;46.736;17.071;29.666;32.587;13.536;19.051;138.577;0.641;195.907;0.771
"2022-06";0.546;33.032;15.022;2.861;6.436;1.59;0;1.4;20.526;-13.807;19.107;12.047;3.468;7.061;19.107;12.047;7.061;39.596;15.614;23.982;90.566;0.546;0;1
"2020-01";0.161;26.078;17.425;3.364;6.281;0.573;0;0;11.701;40.592;65.109;20.249;5.989;44.86;71.396;21.135;50.261;41.46;16.364;25.096;84.576;0.143;317.101;0.855
"2019-06";0.105;40.029;19.324;2.42;8.156;5.393;0;2.377;9.912;-18.902;20.581;12.337;2.61;8.244;20.581;12.337;8.244;42.041;16.729;25.312;99.082;0.092;0;1
"2021-11";0.477;33.065;15.819;4.026;10.059;2.016;0;0.936;11.784;23.886;56.833;18.906;5.914;37.926;53.157;18.351;34.806;38.578;14.528;24.05;105.805;0.443;288.403;1.135
"2022-10";0.678;29.333;16.185;3.436;4.383;3.615;0;2.639;23.521;-4.005;26.115;15.311;5.505;10.804;34.046;15.976;18.07;39.434;15.895;23.539;142.077;0.66;37.95;0.305
"2020-10";0.239;40.35;14.047;4.094;8.341;4.317;0;0;9.724;-1.609;38.317;15.393;3.528;22.925;37.332;15.311;22.02;42.277;14.867;27.411;139.342;0.216;131.438;1.055
"2022-09";0.631;29.906;14.529;4.554;5.888;4.475;0;1.415;18.694;-7.787;21.98;13.631;4.523;8.349;21.98;13.631;8.349;40.4;15.78;24.621;136.908;0.617;0;1
"2021-02";0.28;30.857;14.784;4.066;7.973;0.834;1.069;0;15.785;24.292;53.78;15.645;3.512;38.136;59.807;16.732;43.075;39.322;14.925;24.396;38.351;0.256;260.675;0.815
