"Période";"1. Production de pétrole (brut et hydrocarbures extraits du gaz naturel en kt)";"1.1 Production de pétrole brut (en kt)";"1.2 Production d'hydrocarbures extraits du gaz naturel (en kt)";"2. Solde importateur (importations - exportations) tous produits pétroliers (en kt)";"2.1 Importations totales de produits pétroliers (en kt)";"2.1.1 Importations de pétrole brut et condensats (en kt)";"2.1.2 Importations d'autres produits à distiller (APD) (en kt)";"2.1.3 Importations de produits pétroliers raffinés (en kt)";"2.2 Exportations de produits pétroliers raffinés (en kt)";"3. Marché des soutes maritimes (françaises et étrangères) (en kt)";"5. Consommation totale de produits pétroliers nette de l'autoconsommation des raffineries  (en kt)";"5.1 Ventes totales de fioul lourd (FOL) (en kt)";"5.1.1 Ventes de fioul lourd (FOL) à l'industrie (en kt)";"5.1.2 Ventes de fioul lourd (FOL) aux centrales (en kt)";"5.2 Ventes de supercarburants auto (en kt)";"5.2.1 Livraisons de SP95 (en kt)";"5.2.2 Livraisons de SP95-E10 (en kt)";"5.2.3 Livraisons de SP98 (en kt)";"5.3 Ventes de gazole (en kt)";"5.4 Ventes de fioul domestique (FOD) (en kt)";"5.5 Ventes de gazole non routier (en kt)";"5.6 Ventes de carburéacteur (en kt)";"5.7 Ventes de gaz de pétrole liquéfiés (GPL : Butane, Propane, GPL-carburant) (en kt)";"5.8 Ventes de bases pétrochimie (en kt)";"5.9 Autres produits (hors gazole, supercarburants, carburéacteurs, FOD, GnR, GPL, pétrochimie, dont usages non-énergétique, en kt)";"6. Consommation totale de produits pétroliers CVC-CJO (en kt)";"6.2 Ventes de supercarburants auto CVC-CJO (en kt)";"6.3 Ventes de gazole CVC-CJO (en kt)";"6.4 Ventes de fioul domestique (FOD) CVC-CJO (en kt)";"6.5 Ventes de gazole non routier CVC-CJO (en kt)";"6.6 Ventes de carburéacteurs CVC-CJO (en kt)";"6.7 Ventes de gaz de pétrole liquéfiés (GPL : Butane, Propane, GPL-carburant) CVC-CJO (en kt)";"6.9 Autres produits (hors gazole, supercarburants, carburéacteurs, FOD, GnR, GPL, pétrochimie, dont usages non-énergétique) CVC-CJO (en kt)";"7. Consommation totale de produits pétroliers CVS-CVC-CJO (en kt)";"7.2 Ventes de supercarburants auto CVS-CVC-CJO (en kt)";"7.3 Ventes de gazole CVS-CVC-CJO (en kt)";"7.4 Ventes de fioul domestique (FOD) CVS-CVC-CJO (en kt)";"7.5 Ventes de gazole non routier CVS-CVC-CJO (en kt)";"7.6 Ventes de carburéacteurs CVS-CVC-CJO (en kt)";"7.7 Ventes de gaz de pétrole liquéfiés (GPL : Butane, Propane, GPL-carburant) CVS-CVC-CJO (en kt)";"7.9 Autres produits (hors gazole, supercarburants, carburéacteurs, FOD, GnR, GPL, pétrochimie, dont usages non-énergétique) CVS-CVC-CJO (en kt)";"8. Ventes de produits à usage non énergétique, y compris bases pétrochimie (en kt)";"9. Consommation de carburants routiers (en kt)";"10. Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"11. Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"PERIODE";"PROD_BRUT";"PROD_BRUT2";"PROD_BRUT3";"QSOLI_PETRO";"QIMP_PETRO";"QIMP_BRUT1";"QIMP_APD";"QIMP_RAFF";"QEXP_PETRO";"SOUTESMAR";"CONSO_PETRO";"VFOL_RAFF";"VINDFOL_RAFF";"VPEFOL_RAFF";"VSUPERC_RAFF";"LSP95_RAFF";"LSP95E10_RAFF";"LSP98_RAFF";"VGAZOL_RAFF";"VFOD_RAFF";"VGNR_RAFF";"VCARBU_RAFF";"VGPL_RAFF";"VBPETROCH_RAFF";"VAUTRE_RAFF";"CONSO_PETRO_COR1";"VSUPERC_RAFF_COR1";"VGAZOL_RAFF_COR1";"VFOD_RAFF_COR1";"VGNR_RAFF_COR1";"VCARBU_RAFF_COR1";"VGPL_RAFF_COR1";"VAUTRE_RAFF_COR1";"CONSO_PETRO_COR2";"VSUPERC_RAFF_COR2";"VGAZOL_RAFF_COR2";"VFOD_RAFF_COR2";"VGNR_RAFF_COR2";"VCARBU_RAFF_COR2";"VGPL_RAFF_COR2";"VAUTRE_RAFF_COR2";"VNONENER_RAFF";"CCARBR_RAFF";"DJU";"INDRIG"
"2019-07";51.3;51.3;0;6703.383;7981.905;4294.461;0;3754.921;1345.999;174.9;7014.621;70.972;16.8;10.9;866.361;;395;;3144.616;310.244;542.586;739.595;96.721;666.664;647.833;6733.613;831.774;3015.706;295.953;517.696;738.349;91.119;576.352;6295.904;734.665;2800.819;484.935;399.456;636.294;139.149;433.921;1104.764;4010.977;0;1
"2021-07";55.084;55.084;0;5641.868;6571.721;3432.703;0;3139.018;929.853;100.9;6281.859;53.959;6.5;3.2;937.084;;457.2;;2870.227;266.195;470.92;402.311;97.996;665.132;571.994;6281.941;946.544;2886.562;269.845;477.409;402.311;99.524;534.614;5843.35;831.126;2681.622;443.236;370.087;303.82;147.405;400.922;1065.432;3807.311;0;1
"2023-01";49.969;49.969;0;6288.736;7266.098;4086;0;3259.098;1056.361;85.5;5510.166;104.934;11.3;5.8;825.15;;459.4;;2453.808;477.443;259.592;488.39;159.616;549.257;296.91;5382.231;814.342;2422.752;490.21;250.94;488.39;160.828;205.511;5795.339;941.076;2599.764;341.77;371.257;553.124;118.753;320.34;679.257;3278.958;336.034;0.906
"2023-02";44.596;44.596;0;;;;;;;80;5164.606;57.235;11.3;5.8;738.106;;417.1;;2263.569;495.493;293.236;468.794;167.8;490.301;247.307;5169.592;746.587;2274.804;517.004;293.236;472.616;169.533;205.511;5580.558;883.63;2453.41;371.768;378.413;555.535;127.161;320.34;620.301;3001.675;292.236;0.914
"2022-07";48.158;48.158;0;6281.824;7421.61;3966.382;0;3455.228;1139.786;115.7;6031.356;73.297;10.5;5;941.244;;507;;2676.479;223.5;461.228;506.328;88.852;617.015;516.71;6177.636;973.026;2791.571;234.077;482.858;506.328;93.55;479.212;5735.476;853.321;2595.369;383.633;380.716;408.27;137.527;359.626;976.715;3617.723;0;1
"2022-02";48.46;48.46;0;5211.246;6017.79;3101.502;0;2938.554;828.81;60.2;5447.73;61.118;8.6;10.3;724.578;;385.9;;2447.948;564.164;314.112;297.674;187.735;618.66;292.859;5513.789;732.853;2460.12;642.573;314.112;301.496;193.335;250.641;5902.161;866.118;2656.092;443.913;398.922;384.733;145.051;388.671;773.46;3172.526;255.808;0.8
"2022-06";50.689;50.689;0;5125.753;6306.15;3247.584;0;3058.566;1180.397;117.4;5825.485;94.819;9.8;9.3;901.889;;488.1;;2689.71;198.087;429.89;424.165;89.807;520.873;571.064;5730.452;901.918;2670.313;198.095;429.911;424.165;89.812;495.366;5598.295;845.065;2584.481;367.176;393.776;372.748;132.687;381.488;928.373;3591.599;0;1
"2021-11";51.735;51.735;0;5997.742;7153.841;2986.115;0;4167.726;1156.099;80.2;5911.118;51.635;7.3;9.4;779.136;;413.2;;2656.713;452.014;371.432;381.356;188.362;634.024;448.081;5816.348;779.136;2648.002;411.889;371.432;381.356;177.364;413.146;5965.75;851.071;2701.891;404.436;374.669;459.674;151.633;388.352;922.524;3435.849;288.403;1.135
"2022-11";47.321;47.321;0;5835.73;6605.103;3109.989;0;3574.234;848.493;88.4;5524.445;95.202;11.1;11.6;840.473;;453;;2582.083;382.299;390.221;467.932;118.581;281.682;461.174;5528.637;840.473;2583.118;445.48;390.221;467.932;131.06;388.672;5692.917;918.987;2636.714;440.165;392.215;547.623;112.312;363.218;518.982;3422.556;195.907;0.771
