"Période";"1. Production des combustibles minéraux solides (en kt)";"2. Importations totales des combustibles minéraux solides (en kt)";"3. Exportations totales des combustibles minéraux solides (en kt)";"4. Variation de stocks des combustibles minéraux solides (en kt)";"5. Consommation totale des combustibles minéraux solides (en kt)";"5.1 Consommation des combustibles minéraux solides pour la production d'électricité (en kt)";"5.2 Consommation des combustibles minéraux solides par les cokeries, usines d'agglomération et autres transformations (en kt)";"5.3 Consommation des combustibles minéraux solides par la sidérurgie (y c. centrales électriques intégrées) (en kt)";"5.4 Livraisons des combustibles minéraux solides à l'industrie (hors sidérurgie. y c. centrales électriques intégrées) (en kt)";"5.5 Livraisons réelles des combustibles minéraux solides au secteur résidentiel-tertiaire (en kt)";"6. Consommation des combustibles minéraux solides CVC-CJO (en kt)";"6.1 Consommation des combustibles minéraux solides pour la production d'électricité CVC-CJO (en kt)";"6.2 Consommation des combustibles minéraux solides par la sidérurgie (y c. centrales électriques intégrées) CVC-CJO (en kt)";"7. Consommation des combustibles minéraux solides CVS-CVC-CJO (en kt)";"7.1 Consommation des combustibles minéraux solides pour la production d'électricité CVS-CVC-CJO (en kt)";"7.2 Consommation des combustibles minéraux solides par la sidérurgie (y c. centrales électriques intégrées) CVS-CVC-CJO (en kt)";"8. Stocks des combustibles minéraux solides en fin de mois (en kt)";"9. Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"10. Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"PERIODE";"PROD_CMS";"QIMP_CMS";"QEXP_CMS";"VSTO_CMS";"CI_CMS";"CPE_CMS";"CAT_CMS";"CSID_CMS";"LIND_CMS";"LRT_CMS";"CI_CMS_COR1";"CPE_CMS_COR1";"CSID_CMS_COR1";"CI_CMS_COR2";"CPE_CMS_COR2";"CSID_CMS_COR2";"ST_CMS";"DJU";"INDRIG"
"2022-07";0;733.835;3.937;208.662;694.926;39.524;"secret";402.172;121.71;"secret";725.962;70.56;402.172;805.604;149.451;402.923;2080.102;0;1
"2023-01";0;742.91;49.395;125.912;761.323;128.197;"secret";402.64;120.485;"secret";845.583;212.458;402.64;725.017;106.424;388.108;2567.716;336.034;0.906
"2022-12";0;661.992;1.663;-122.795;936.591;331.477;"secret";370.863;121.119;"secret";959.551;354.437;370.863;829.216;214.559;380.406;2441.804;339.35;0.962
"2019-06";0;709.371;1.785;-80.64;874.469;81.773;94.854;528.413;131.429;38;917.949;125.254;528.413;1037.655;245.529;527.842;3043.739;0;1
"2018-07";0;1117.219;1.729;-132.769;1189.676;310.333;127.654;546.322;167.366;38;1177.262;297.919;546.322;1254.971;386.983;534.967;2643.592;0;1
"2022-06";0;840.103;1.505;73.949;730.35;43.716;"secret";414.397;121.418;"secret";730.38;43.746;414.397;835.395;156.425;406.733;1871.44;0;1
"2022-11";0;539.28;0.935;157.499;729.727;118.619;"secret";382.208;120.541;"secret";815.688;204.58;382.208;755.201;138.39;387.911;2564.599;195.907;0.771
"2021-03";0;1034.175;109.248;240.103;912.751;116.266;"secret";519.169;121.925;"secret";864.134;67.648;519.169;859.176;83.304;498.554;2217.87;260.78;1.02
"2023-02";0;861.236;10.824;124.746;725.666;135.166;"secret";368.241;121.331;"secret";779.805;182.631;374.915;650.279;49.111;378.91;2692.462;292.236;0.914
"2022-08";0;772.379;1.476;63.544;732.27;39.43;"secret";453.195;121.536;"secret";732.238;39.399;453.195;820.507;135.804;445.059;2143.646;0;1
"2022-03";0;1026.192;30.932;161.694;977.382;247.794;"secret";442.68;157.516;"secret";1077.012;347.423;442.68;1068.171;358.517;422.745;1539.173;222.74;0.871
"2019-10";0;1124.09;40.024;215.37;819.998;55.584;122.614;471.295;132.506;38;845.42;81.005;471.295;830.585;43.607;493.859;3299.957;87.554;0.703
"2022-10";0;848.471;12.286;110.258;650.229;38.627;"secret";372.123;121.579;"secret";784.248;172.645;372.123;728.471;97.957;391.034;2407.1;37.95;0.305
"2020-11";0;840.616;12.528;65.748;792.708;102.044;"secret";451.831;135.617;"secret";863.074;172.41;451.831;796.582;100.2;457.549;2632.458;206.465;0.812
"2022-09";0;625.291;3.838;153.196;648.871;36.392;"secret";374.174;122.265;"secret";644.989;32.51;374.174;675.237;37;399.932;2296.842;0;1
"2020-08";0;268.924;18.981;-26.781;629.681;75.764;"secret";331.972;127.07;"secret";638.992;85.075;331.972;727.723;179.463;326.316;2439.912;0;1
"2022-04";0;899.397;1.102;258.827;671.649;62.717;"secret";372.912;121.165;"secret";685.269;76.337;372.912;758.899;152.05;370.83;1798;162.673;0.979
"2021-12";0;671.44;209.687;85.177;963.485;250.921;"secret";466.698;124.542;"secret";1016.36;303.796;466.698;890.753;164.866;480.02;1773.361;318.72;0.903
"2018-02";0;1207.305;1.893;-275.55;1309.384;478.178;97.038;527.976;168.193;38;1112.865;272.09;537.545;989.192;138.192;547.769;2753.763;397.119;1.242
"2021-06";0;903.715;12.2;-18.615;795.674;52.622;"secret";502.829;125.405;"secret";786.097;43.045;502.829;874.172;138.583;495.367;2086.962;0;1
"2018-01";0;1251.038;2.691;-1052.878;1115.424;199.764;115.745;589.133;172.782;38;1367.949;452.289;589.133;1215.765;331.874;557.365;3029.313;275.94;0.744
"2018-12";0;1192.849;0.448;162.569;1025.087;178.428;126.358;511.663;170.638;38;1182.901;336.242;511.663;1074.052;208.481;530.575;2989.497;302.835;0.858
"2022-05";0;670.055;3.617;-0.51;749.694;46.811;"secret";454.744;121.792;"secret";739.743;36.86;454.744;810.124;124.397;437.588;1797.491;37.956;0.484
"2021-11";0;789.017;1.338;-109.015;974.33;252.886;"secret";476.79;124.512;"secret";923.665;202.222;476.79;866.1;138.553;482.894;1688.185;288.403;1.135
"2018-09";0;1050.533;4.95;103.191;1044.316;187.558;102.242;553.255;163.261;38;1075.352;218.594;553.255;1118.2;239.869;574.828;2722.722;0;1
"2018-04";0;899.778;1.386;-109.176;1038.302;165.993;96.533;573.959;163.817;38;1051.922;179.613;573.959;1146.101;273.32;574.431;2802.194;109.397;0.659
"2018-05";0;1244.597;1.739;-77.506;1003.052;118.877;105.479;566.327;174.37;38;1006.23;122.055;566.327;1133.333;272.417;543.067;2724.688;56.532;0.721
"2021-02";0;596.074;40.7;-360.987;874.765;153.493;"secret";461.053;120.09;"secret";1006.885;277.256;469.409;878.184;143.247;474.717;1977.768;260.675;0.815
"2020-04";0;566.18;61.217;-108.085;578.551;73.296;90.92;250.189;126.146;38;578.551;73.296;250.189;658.853;156.048;247.739;2621.971;89.303;0.538
"2020-03";0;616.089;0.737;145.487;752.547;87.483;98.775;402.33;125.958;38;782.469;117.405;402.33;786.052;134.39;388.928;2730.057;246.202;0.963
"2019-11";0;858.867;1.524;-185.578;937.171;230.707;102.124;433.983;132.356;38;951.779;245.315;433.983;866.452;155.723;438.248;3114.379;258.921;1.019
"2019-04";0;977.597;1.066;70.555;850.341;69.238;91.724;522.324;129.055;38;843.646;62.543;522.324;932.599;156.015;517.805;3031.975;164.844;0.992
"2018-08";0;1346.198;1.947;-24.061;994.619;249.813;110.44;432.372;163.994;38;982.205;237.399;432.372;1095.944;355.124;428.386;2619.531;0;1
"2021-08";0;876.265;0.881;-102.748;806.965;54.824;"secret";508.946;123.086;"secret";794.551;42.409;508.946;882.689;139.536;499.957;1997.157;0;1
"2021-05";0;633.104;5.875;-122.393;748.26;33.383;"secret";475.659;125.968;"secret";751.438;36.561;475.659;852.214;154.673;458.322;2105.577;116.452;1.485
"2019-01";0;850.214;0.784;-100.333;1047.501;246.549;101.437;532.683;128.832;38;971.281;170.329;532.683;853.828;76.934;508.625;2889.163;393.349;1.06
"2017-12";0;1118.859;1.967;-251.411;1145.007;329.964;126.778;541.114;109.15;38;1173.526;358.484;541.114;1065.715;227.537;564.249;4082.191;354.569;1.005
"2021-09";0;796.547;60.014;-172.434;950.505;257.202;"secret";451.967;123.497;"secret";938.09;244.788;451.967;984.636;261.848;481.453;1824.723;0;1
"2020-07";0;873.015;5.603;-144.397;650.733;114.943;"secret";314.361;126.375;"secret";638.319;102.528;314.361;709.113;177.128;310.556;2466.694;0;1
"2020-05";0;596.759;0.399;45.801;611.833;86.729;"secret";289.447;127.86;"secret";636.737;111.633;289.447;748.763;233.825;279.281;2667.773;58.632;0.747
"2019-08";0;970.508;61.996;-5.042;855.616;73.858;105.926;507.85;129.982;38;864.927;83.169;507.85;957.936;183.062;500.966;3022.117;0;1
"2019-07";0;1074.216;19.757;-16.58;882.007;93.198;100.325;519.687;130.798;38;858.736;69.927;519.687;913.967;135.096;509.748;3027.159;0;1
"2019-05";0;867.425;2.685;92.405;858.132;74.865;100.279;512.027;132.96;38;858.132;74.865;512.027;952.242;188.022;492.98;3124.379;107.094;1.365
"2021-07";0;670.989;8.015;12.943;790.893;64.029;"secret";477.749;123.554;"secret";800.204;73.34;477.749;873.688;148.56;476.012;2099.905;0;1
"2020-09";0;959.789;5.955;140.639;759.321;151.861;"secret";395.281;126.238;"secret";746.907;139.447;395.281;790.723;160.396;418.149;2580.551;0;1
"2019-12";0;854.614;1.71;-154.674;881.202;174.905;102.155;428.157;137.985;38;1040.153;333.856;428.157;924.647;204.762;441.745;2959.705;293.701;0.832
"2018-11";0;1232.6;24.496;38.181;1130.752;266.045;102.962;556.167;167.578;38;1130.243;265.535;556.167;1016.078;144.944;562.593;2826.928;239.74;0.943
