"Période";"1. Production primaire toutes énergies (en GWh)";"1.1 Production de combustibles minéraux solides (en GWh)";"1.2 Production de pétrole (en GWh)";"1.3 Production de gaz naturel (extraction de gaz commercialisé) (en GWh)";"1.4 Production nucléaire (équivalent primaire à la production, sous forme de chaleur) (en GWh)";"1.5 Production (brute) d'électricité hydraulique, éolienne et photovoltaïque (en GWh)";"2.1 Importations toutes énergies (en GWh)";"2.1.1 Importations de combustibles minéraux solides (en GWh)";"2.1.2 Importations de tous produits pétroliers (en GWh)";"2.1.2.1 Importations de pétrole brut, condensats et autres produits à distiller (en GWh)";"2.1.2.2 Importations de produits pétroliers raffinés (en GWh)";"2.1.3 Importations de gaz naturel (en GWh)";"2.1.4 Importations d'électricité (en GWh)";"2.2 Exportations toutes énergies (en GWh)";"2.2.1 Exportation de combustibles minéraux solides (en GWh)";"2.2.2 Exportations de produits pétroliers raffinés (en GWh)";"2.2.3 Exportations de gaz naturel (en GWh)";"2.2.4 Exportations d'électricité (en GWh)";"3. Marché des soutes maritimes (françaises et étrangères) (en GWh)";"4. Consommation primaire réelle toutes énergies (en GWh)";"4.1 Consommation réelle de combustibles minéraux solides (en GWh)";"4.2 Consommation réelle de pétrole (brut et raffiné) (en GWh)";"4.3 Consommation réelle de gaz naturel (en GWh)";"4.4 Consommation primaire d'énergie nucléaire, hydraulique, éolienne et photovoltaïque brute (en GWh)";"5. Emissions brutes de CO2 totales dues à la consommation d'énergie (en ktCO2)";"6. Consommation primaire CVC-CJO toutes énergies (en GWh)";"6.1 Consommation de combustibles minéraux solides CVC-CJO (en GWh)";"6.2 Consommation de pétrole (brut et raffiné) CVC-CJO (en GWh)";"6.3 Consommation de gaz naturel CVC-CJO (en GWh)";"6.4 Consommation d'électricité primaire et d'équivalent primaire d'électricité nucléaire CVC-CJO (en GWh)";"7. Emissions de CO2 totales dues à la consommation d'énergie CVC-CJO (en ktCO2)";"8. Consommation primaire CVS-CVC-CJO toutes énergies (en GWh)";"8.1 Consommation de combustibles minéraux solides CVS-CVC-CJO (en GWh)";"8.2 Consommation de pétrole (brut et raffiné) CVS-CVC-CJO (en GWh)";"8.3 Consommation de gaz naturel CVS-CVC-CJO (en GWh)";"8.4 Consommation d'électricité primaire et d'équivalent primaire d'électricité nucléaire CVS-CVC-CJO (en GWh)";"9. Emissions de CO2 totales dues à la consommation d'énergie CVS-CVC-CJO (en ktCO2)";"10. Taux d'indépendance énergétique réel toutes énergies (en %)";"11. Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"12. Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"PERIODE";"PROD_ENER_SYNT";"PROD_CMS_SYNT";"PROD_PETRO_SYNT";"PROD_GAZ_SYNT";"PRODB_NUCL_SYNT";"PRODB_ELE_SYNT";"QIMP_ENER_SYNT";"QIMP_CMS_SYNT";"QIMP_PETRO_SYNT";"QIMP_BRUT_SYNT";"QIMP_RAFF_SYNT";"QIMP_GAZ_SYNT";"QIMP_ELE_SYNT";"QEXP_ENER_SYNT";"QEXP_CMS_SYNT";"QEXP_RAFF";"QEXP_GAZ_SYNT";"QEXP_ELE_SYNT";"SOUTESMAR";"CP_ENER_SYNT";"CI_CMS_SYNT";"CONSO_PETRO_SYNT";"CONSO_GAZ_SYNT";"CONSO_ELE_SYNT";"ECO2";"CP_ENER_SYNT_COR1";"CI_CMS_SYNT_COR1";"CONSO_PETRO_COR1_SYNT";"CONSO_GAZ_SYNT_COR1";"CONSO_ELE_SYNT_COR1";"ECO2_COR1";"CP_ENER_SYNT_COR2";"CI_CMS_SYNT_COR2";"CONSO_PETRO_COR2_SYNT";"CONSO_GAZ_SYNT_COR2";"CONSO_ELE_SYNT_COR2";"ECO2_COR2";"TAUXIND_ENER_CUM";"DJU";"INDRIG"
"2022-05";76433.649;0;612.834;523.152;65809.978;9487.685;131452.745;4879.832;80661.098;40893.569;39767.529;42828.059;3083.756;23565.515;26.523;1105.694;6975.168;3704.602;98.8;165251.352;5456.505;64892.659;20225.371;74676.817;21070.107;165623.661;5384.081;62093.355;23926.578;74219.647;21053.632;194649.207;5896.336;64524.444;37758.164;82944.854;25964.788;48.937;37.956;0.484
"2022-03";96478.151;0;634.333;520.164;85750.867;9572.787;135382.623;7464.131;79154.504;40600.935;38553.569;44733;4030.988;19889.174;223.047;1152.089;3231.429;3035.9;96.1;214722.369;7094.197;68952.721;42356.71;96318.741;27229.593;218779.764;7817.345;67153.821;46152.907;97655.691;27783.986;201690.53;7753.175;66813.31;33955.894;88498.499;26865.206;49.828;222.74;0.871
"2020-03";111690.748;0;695.812;162.004;97714.37;13118.562;122199.761;4449.06;81875.999;28259.528;53616.471;34895.726;978.975;25216.644;5.424;1031.831;6238.65;6972.373;73;215515.897;5403.932;61314.915;43957.515;104839.535;24593.408;216953.887;5618.798;61195.533;44907.905;105231.651;24832.289;197954.846;5644.527;60532.579;32695.006;95585.481;23435.817;50.33;246.202;0.963
"2022-04";81491.983;0;602.05;512.769;69785.579;10591.585;125607.484;6535.333;71689.091;34273.622;37415.47;43593.553;3789.507;21245.171;8.169;1031.453;6538.681;2702.519;90.4;180466.499;4891.613;62062.636;32048.098;81464.151;22844.424;181627.915;4990.806;62071.169;32747.266;81818.674;23024.615;194102.15;5527.056;62980.73;36050.367;86245.058;25315.979;49.517;162.673;0.979
"2022-01";122961.103;0;623.661;472.199;111862.4;10002.843;128715.046;8934.08;81230.615;42425.333;38805.282;34442.068;4108.283;22249.786;723.906;941.521;7463.65;3112.343;80.3;255500.784;7483.448;64154.846;61001.307;122861.183;29571.862;253095.899;7242.948;63974.177;59412.432;122466.342;29114.106;205568.82;6415.484;68044.499;33091.691;94083.069;25954.384;50.284;385.801;1.04
"2022-08";66802.983;0;532.486;544.087;58554.054;7172.356;121969.655;5606.485;80663.482;45785.926;34877.556;30576.07;5123.618;23679.967;11.033;1118.498;8751.485;1909.311;133.3;158164.162;5340.031;68294.224;15589.19;68940.717;20945.96;156332.119;5339.802;66603.34;15589.19;68799.787;20496.624;193881.029;5983.497;66587.301;35502.623;82248.605;26054.681;46.464;0;1
"2023-01";112651.31;0;581.14;637.809;98262.049;13170.312;119636.337;5415.183;85423.487;47520.18;37903.307;24791.227;4006.44;24819.047;381.392;1056.361;6806.798;5345.374;85.5;229573.165;5507.267;64083.231;49889.24;110093.427;27059.21;233200.3;6116.795;62595.347;53401.641;111086.517;27597.67;186306.544;5244.642;67399.794;27755.924;82718.874;24486.126;44.903;336.034;0.906
"2022-09";66367.317;0;523.092;565.246;58600.02;6678.958;112718.408;4562.34;75905.819;44258.628;31647.191;26781.176;5469.073;22588.979;27.9;1111.787;7480.752;2150.238;109.2;165614.08;4774.243;72558.668;19683.356;68597.814;22787.291;163993.513;4745.679;71107.595;19683.356;68456.884;22391.493;193882.507;4968.237;67570.662;36179.013;82279.82;25925.064;45.532;0;1
"2022-06";73799.12;0;589.512;488.93;64482.038;8238.64;112850.079;6116.022;73340.528;37769.402;35571.126;29580.367;3813.163;19913.396;11.126;1180.397;3424.549;2749.701;117.4;163958.865;5313.739;67750.393;17110.592;73784.14;20522.984;162854.189;5313.958;66645.158;17110.592;73784.481;20229.41;198767.698;6078.007;65108.172;35458.175;88485.706;25136.142;48.294;0;1
