"Période";"1. Production (brute) d'électricité hydraulique, éolienne et photovoltaïque (en GWh)";"1.1 Production brute d'électricité hydraulique (en GWh)";"1.2 Production brute d'électricité éolienne (en GWh)";"1.3 Production brute d'électricité solaire photovoltaïque (en GWh)";"2. Production nucléaire (équivalent primaire à la production, sous forme de chaleur) (en GWh)";"3. Solde importateur (importations - exportations) d'électricité (en GWh)";"3.1 Importations d'électricité (en GWh)";"3.2 Exportations d'électricité (en GWh)";"4. Consommation primaire d'énergie nucléaire, hydraulique, éolienne et photovoltaïque brute (en GWh)";"5. Consommation d'électricité primaire et d'équivalent primaire d'électricité nucléaire CVC-CJO (en GWh)";"6. Consommation d'électricité primaire et d'équivalent primaire d'électricité nucléaire CVS-CVC-CJO (en GWh)";"7. Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"8. Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"PERIODE";"PRODB_ELE_SYNT";"PRODB_HYDRO_SYNT";"PRODB_EOL_SYNT";"PRODB_PV_SYNT";"PRODB_NUCL_SYNT";"QSOLI_ELE_SYNT";"QIMP_ELE_SYNT";"QEXP_ELE_SYNT";"CONSO_ELE_SYNT";"CONSO_ELE_SYNT_COR1";"CONSO_ELE_SYNT_COR2";"DJU";"INDRIG"
"2021-03";11116.317;6101.778;3713.416;1301.123;100674.872;-3224.652;2339.282;5563.934;108566.537;107971.677;98582.709;260.78;1.02
"2022-01";10002.843;6074.226;3145.395;783.222;111862.4;995.94;4108.283;3112.343;122861.183;122466.342;94083.069;385.801;1.04
"2022-04";10591.585;5226.852;3562.39;1802.343;69785.579;1086.988;3789.507;2702.519;81464.151;81818.674;86245.058;162.673;0.979
"2020-08";7397.305;3793.482;2047.199;1556.623;73715.969;-1741.479;2072.972;3814.451;79371.794;79477.492;93118.325;0;1
"2020-01";11177.262;6476.654;4174.88;525.728;118755.941;-4517.428;1516.862;6034.29;125415.776;127030.715;98530.064;317.101;0.855
"2018-11";7432.013;4135.809;2797.147;499.057;103937.521;-1924.516;2068.629;3993.146;109445.017;109914.262;107839.162;239.74;0.943
"2018-04";10337.624;7164.442;2160.032;1013.15;97451.631;-5810.196;647.513;6457.708;101979.06;104061.052;108258.807;109.397;0.659
"2017-10";5358.065;2732.815;1972.717;652.534;89679.724;-2422.495;1979.086;4401.581;92615.294;94671.815;100886.604;87.921;0.706
"2015-05";8822.161;6515.786;1519.049;787.325;96932.331;-5976.246;572.463;6548.709;99778.246;100278.118;110633.804;74.613;0.951
"2020-04";8865.305;5234.014;2282.087;1349.204;85870.559;-5693.375;738.257;6431.631;89042.49;91529.37;95582.625;89.303;0.538
"2015-02";8564.409;6423.175;1808.531;332.703;118645.628;-3061.461;1446.87;4508.331;124148.576;124290.861;113060.895;351.239;1.099
"2019-12";13240.107;8043.706;4709.632;486.769;105413.8;-3569.703;2008.625;5578.329;115084.204;117483.281;97012.296;293.701;0.832
"2012-05";9203.377;7847.839;933.063;422.475;92837.989;-4488.638;613.01;5101.648;97552.729;;108597.035;73.287;0.934
"2018-06";10445.233;7784.143;1372.891;1288.199;91391.126;-7602.147;208.992;7811.139;94234.212;94234.553;108560.381;0;1
"2011-01";7320.55;6048.917;1229.221;42.411;138909.815;-3750.675;1266.228;5016.903;142479.69;;115079.99;380.373;1.025
"2012-06";8371.53;6966.565;951.328;453.637;84994.337;-3699.306;633.054;4332.36;89666.561;;104551.139;0;1
"2010-09";4156.318;3608.219;548.099;0;100872.091;-3610.65;982.177;4592.827;101417.759;;112298.626;0;1
"2011-12";7774.077;5747.037;1944.35;82.69;126664.766;-4827.869;943.17;5771.039;129610.974;;110692.825;296.789;0.841
"2010-07";5991.1;5512.014;479.086;0;101295.785;-4632.834;781.141;5413.974;102654.051;;112363.767;0;1
"2010-03";7459.857;6310.65;1149.207;0;114382.671;-2146.386;2129.383;4275.77;119696.141;;110449.04;286.275;1.119
"2009-12";6263.241;5323.072;940.169;0;120193.633;-797.143;2376.428;3173.571;125659.731;;105981.885;379.273;1.075
"2010-01";7039.828;6371.707;668.12;0;128292.756;378.068;3042.548;2664.48;135710.651;;108893.223;475.215;1.281
"2008-07";6455.129;6108.066;347.062;0;101837.054;-4782.861;642.116;5424.976;103509.322;;112917.778;0;1
"2008-01";6746.671;6132.561;614.111;0;129923.352;-4339.781;798.144;5137.925;132330.242;;110801.045;317.75;0.857
"2009-09";3536.964;2994.867;542.098;0;91803.258;-1262.227;1603.289;2865.516;94077.995;;104596.814;0;1
"2009-07";5504.3;4966.204;538.097;0;92456.012;-1358.244;2025.365;3383.609;96602.068;;105899.999;0;1
"2007-08";5403.537;5118.486;285.051;0;104203.578;-7068.272;422.076;7490.348;102538.843;;113818.15;0;1
"2009-06";6849.237;6444.164;405.073;0;86803.48;-1950.351;1510.272;3460.623;91702.366;;105465.199;0;1
"2007-02";6009.366;5648.301;361.065;0;114708.496;-5138.925;534.096;5673.021;115578.937;;112386.176;243.557;0.762
"2005-06";5026.851;4976.842;50.009;0;104727.914;-5897.061;409.074;6306.135;103857.704;;115110.648;0;1
"2006-04";7310.044;7165.018;145.026;0;114187.19;-7249.305;110.02;7359.324;114247.929;;119291.271;172.824;1.041
"2002-04";4630.539;4630.539;0;0;113374.923;-7028.265;163.029;7191.294;110977.197;;112619.711;165.079;0.994
"2005-02";5376.795;5293.78;83.015;0;115560.164;-2884.519;1202.216;4086.735;118052.44;;112167.381;382.496;1.197
"2004-10";4319.676;4319.676;0;0;119436.618;-6200.116;323.058;6523.174;117556.178;;117558.974;106.239;0.853
"1999-09";5047.722;5047.722;0;0;94789.479;-5440.979;539.097;5980.076;94396.223;;102833.473;0;1
"1999-07";5834.499;5834.499;0;0;95600.155;-5082.915;360.065;5442.98;96351.739;;103943.546;0;1
"2000-07";5135.817;5135.817;0;0;99254.888;-6008.081;205.037;6213.118;98382.624;;106153.86;0;1
