"Période";"1. Production de gaz naturel (extraction de gaz commercialisé) (en GWh)";"2. Solde importateur (importations - exportations) de gaz naturel (en GWh)";"3. Consommation réelle de gaz naturel (en GWh)";"4. Consommation de gaz naturel CVC-CJO (en GWh)";"5. Consommation de gaz naturel CVS-CVC-CJO (en GWh)";"6. Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"7. Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"PERIODE";"PROD_GAZ_SYNT";"QSOLI_GAZ_SYNT";"CONSO_GAZ_SYNT";"CONSO_GAZ_SYNT_COR1";"CONSO_GAZ_SYNT_COR2";"DJU";"INDRIG"
"2022-03";520.164;41501.572;42356.71;46152.907;33955.894;222.74;0.871
"2023-02";598.134;8872.294;45224.795;47301.932;28992.14;292.236;0.914
"2022-06";488.93;26155.817;17110.592;17110.592;35458.175;0;1
"2022-09";565.246;19300.424;19683.356;19683.356;36179.013;0;1
"2020-11";232.553;32396.715;43837.822;48389.317;35082.21;206.465;0.812
"2020-02";141.437;18683.351;46768.672;55411.575;36969.218;230.482;0.721
"2019-04";100.943;40006.443;33021.755;33473.298;37035.525;164.844;0.992
"2018-06";57.839;29761.362;16270.406;16270.406;34997.415;0;1
"2021-02";250.553;25427.273;48160.938;53557.814;35212.829;260.675;0.815
"2020-05";166.689;37370.39;19922.374;21624.444;34829.117;58.632;0.747
"2018-12";81.529;34302.275;54317.722;59613.696;36101.838;302.835;0.858
"2022-10";606.98;17861.125;23386.331;30488.587;35313.892;37.95;0.305
"2023-01";637.809;17984.429;49889.24;53401.641;27755.924;336.034;0.906
"2022-11";599.062;25520.423;36358.094;41852.945;29181.879;195.907;0.771
"2022-12";641.921;29461.336;50922.795;52373.84;29186.495;339.35;0.962
"2022-01";472.199;26978.418;61001.307;59412.432;33091.691;385.801;1.04
"2021-08";355.749;33491.043;13969.124;13969.124;33196.576;0;1
"2022-05";523.152;35852.891;20225.371;23926.578;37758.164;37.956;0.484
"2021-01";270.392;28112.15;62809.238;61252.056;34922.827;385.513;1.039
"2020-09";169.381;18210.825;20677.267;20677.267;37171.013;0;1
"2018-04";54.208;31195.198;26947.653;33451.736;36686.464;109.397;0.659
"2018-11";67.587;39373.043;49876.313;51274.158;37068.355;239.74;0.943
"2017-11";46.12;40742.155;53005.214;51088.977;36602.343;273.605;1.076
"2018-01";49.91;27188.962;53227.463;62985.435;36667.507;275.94;0.744
"2019-07";92.323;26721.8;19001.858;19001.858;37490.469;0;1
"2019-03";102.091;36682.021;43754.995;47675.408;35291.709;221.345;0.865
"2018-09";65.033;31583.523;19403.286;19403.286;35671.63;0;1
"2020-04";161.06;39454.494;21388.563;29855.8;32882.613;89.303;0.538
"2018-03";53.86;36069.973;52942.31;49340.449;36853.096;284.173;1.111
"2021-10";410.763;30312.365;29761.621;29410.203;34101.374;125.254;1.006
"2020-01";144.302;16725.431;58305.58;63935.903;37127.883;317.101;0.855
"2019-11";124.2;41533.513;50705.944;50238.36;36367.637;258.921;1.019
"2019-09";114.712;22512.822;20185.009;20185.009;36572.173;0;1
"2019-05";101.793;33641.489;27195.356;24377.561;38141.854;107.094;1.365
"2018-02";47.58;35731.221;62880.025;53700.552;35348.322;397.119;1.242
"2018-08";62.211;34180.882;16345.485;16345.485;37276.337;0;1
"2022-07";532.227;30904.608;17145.132;17145.132;35054.936;0;1
"2022-04";512.769;37054.872;32048.098;32747.266;36050.367;162.673;0.979
"2020-10";214.199;33932.563;34313.529;33430.875;37859.896;131.438;1.055
"2019-01";85.931;28519.675;66486.402;64066.716;37114.64;393.349;1.06
"2020-03";162.004;28657.077;43957.515;44907.905;32695.006;246.202;0.963
"2019-12";141.767;41172.147;53663.806;59887.958;36510.059;293.701;0.832
"2019-10";122.7;24935.564;30182.709;33056.964;37203.521;87.554;0.703
"2019-06";93.822;28742.974;18430.567;18430.567;37647.924;0;1
"2021-09";360.975;23758.901;17650.755;17650.755;33821.877;0;1
