"Période";"1. Production de pétrole (en GWh)";"2. Solde importateur (importations - exportations) tous produits pétroliers (en GWh)";"2.1 Importations de tous produits pétroliers (en GWh)";"2.1.1 Importations de pétrole brut, condensats et autres produits à distiller (en GWh)";"2.1.2 Importations de produits pétroliers raffinés (en GWh)";"2.2 Exportations de produits pétroliers raffinés (en GWh)";"3. Solde importateur (importations - exportations) de produits pétroliers raffinés (en GWh)";"4. Marché des soutes maritimes (françaises et étrangères) (en GWh)";"5. Consommation réelle de pétrole (brut et raffiné) (en GWh)";"6. Consommation de pétrole (brut et raffiné) CVC-CJO (en GWh)";"7. Consommation de pétrole (brut et raffiné) CVS-CVC-CJO (en GWh)";"8. Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"9. Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"PERIODE";"PROD_PETRO_SYNT";"QSOLI_PETRO_SYNT";"QIMP_PETRO_SYNT";"QIMP_BRUT_SYNT";"QIMP_RAFF_SYNT";"QEXP_RAFF_SYNT";"QSOLI_RAFF_SYNT";"SOUTESMAR_SYNT";"CONSO_PETRO_SYNT";"CONSO_PETRO_COR1_SYNT";"CONSO_PETRO_COR2_SYNT";"DJU";"INDRIG"
"2022-07";560.082;73057.618;86313.328;46129.023;40184.305;13255.71;26928.595;1345.591;70144.669;71845.91;66703.586;0;1
"2022-10";557.195;73363.349;82922.651;28482.614;54440.037;9559.303;44880.734;1093.22;64540.395;66978.767;62504.364;37.95;0.305
"2019-11";717.652;69321.18;83638.258;37576.949;46061.309;14317.078;31744.231;908.303;70062.367;70618.518;72395.346;258.921;1.019
"2021-05";662.733;63910.446;72906.983;28836.097;44070.887;8996.537;35074.35;1207.194;60020.086;59594.12;62996.937;116.452;1.485
"2023-02";518.651;;;;;;;930.4;60064.363;60122.358;64901.89;292.236;0.914
"2021-06";639.352;66366.403;75393.179;34639.269;40753.91;9026.776;31727.134;1114.154;68802.859;66305.484;65436.035;0;1
"2023-01";581.14;73138.004;85423.487;47520.18;37903.307;12285.483;25617.824;994.365;64083.231;62595.347;67399.794;336.034;0.906
"2020-11";646.973;53853.299;69286.559;40092.448;29194.111;15433.26;13760.851;1066.471;54919.878;55410.582;56771.073;206.465;0.812
"2022-09";523.092;62975.731;75905.819;44258.628;31647.191;12930.088;18717.103;1269.996;72558.668;71107.595;67570.662;0;1
"2018-11";733.574;67564.722;83584.899;47839.075;35745.824;16020.177;19725.647;1839.866;70143.262;68266.39;73086.368;239.74;0.943
