"Période";"1. Production de combustibles minéraux solides (en GWh)";"2. Solde importateur (importations - exportations) de combustibles minéraux solides (en GWh)";"2.1 Importations de combustibles minéraux solides (en GWh)";"2.2 Exportation de combustibles minéraux solides (en GWh)";"3. Variation de stocks de combustibles minéraux solides (en GWh)";"4. Consommation réelle de combustibles minéraux solides (en GWh)";"5. Consommation de combustibles minéraux solides CVC-CJO (en GWh)";"6. Consommation de combustibles minéraux solides CVS-CVC-CJO (en GWh)";"7. Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"8. Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"PERIODE";"PROD_CMS_SYNT";"QSOLI_CMS_SYNT";"QIMP_CMS_SYNT";"QEXP_CMS_SYNT";"VSTO_CMS_SYNT";"CI_CMS_SYNT";"CI_CMS_SYNT_COR1";"CI_CMS_SYNT_COR2";"DJU";"INDRIG"
"2022-06";0;6104.896;6116.022;11.126;541.601;5313.739;5313.958;6078.007;0;1
"2022-08";0;5595.452;5606.485;11.033;437.088;5340.031;5339.802;5983.497;0;1
"2022-12";0;4789.362;4801.955;12.593;-903.354;6808.308;6975.21;6027.773;339.35;0.962
"2022-09";0;4534.44;4562.34;27.9;1089.12;4774.243;4745.679;4968.237;0;1
"2021-06";0;6484.848;6572.998;88.15;-137.656;5789.674;5719.987;6360.864;0;1
"2020-03";0;4443.637;4449.06;5.424;1069.597;5403.932;5618.798;5644.527;246.202;0.963
"2023-01";0;5033.791;5415.183;381.392;927.853;5507.267;6116.795;5244.642;336.034;0.906
"2021-04";0;6240.837;6563.766;322.929;91.49;5870.033;5811.106;6397.33;212.419;1.279
"2021-08";0;6397.206;6403.68;6.473;-744.586;5892.024;5801.381;6444.915;0;1
"2022-02";0;4350.765;4489.192;138.427;-2258.884;6967.811;8005.37;7075.835;255.808;0.8
"2020-12";0;5301.538;5926.677;625.14;-255.649;7112.599;7663.001;6809.496;318.167;0.902
"2020-01";0;3924.63;3972.86;48.23;-2720.163;6829.447;7817.845;7033.188;317.101;0.855
"2022-11";0;3929.428;3936.295;6.867;1130.975;5362.011;5993.651;5549.195;195.907;0.771
"2020-10";0;3867.772;3967.071;99.298;-122.546;5286;5209.868;5161.252;131.438;1.055
"2022-05";0;4853.309;4879.832;26.523;-0.944;5456.505;5384.081;5896.336;37.956;0.484
"2021-01";0;6141.272;6149.346;8.074;-1820.586;7818.308;7740.086;6945.761;385.513;1.039
"2020-11";0;5965.154;6055.69;90.537;468.626;5715.486;6222.83;5743.417;206.465;0.812
"2020-07";0;6252.194;6292.669;40.476;-1052.293;4697.799;4608.177;5119.256;0;1
"2021-10";0;6227.883;6381.466;153.583;-190.364;7048.153;7188.666;6802.958;125.254;1.006
"2019-02";0;7052.627;7064.296;11.669;-10.942;6606.937;7542.617;6649.976;262.159;0.82
"2018-02";0;8695.581;8709.616;14.035;-1964.469;9425.025;8010.472;7120.263;397.119;1.242
"2020-06";0;3137.788;3265.56;127.772;-385.315;3649.544;3649.76;4416.211;0;1
"2019-11";0;6201.597;6212.911;11.314;-1350.291;6786.145;6891.922;6274.066;258.921;1.019
"2018-10";0;9552.567;9711.252;158.685;541.753;8514.343;8501.101;7795.703;108.323;0.87
"2021-12";0;3392.304;4902.408;1510.103;638.094;7046.758;7433.477;6514.809;318.72;0.903
"2020-09";0;6883.888;6927.155;43.266;970.171;5521.937;5431.657;5750.3;0;1
"2019-12";0;6153.895;6166.419;12.524;-1104.474;6347.978;7493.026;6660.949;293.701;0.832
"2020-05";0;4302.447;4305.493;3.046;348.455;4394.053;4572.907;5377.45;58.632;0.747
"2018-12";0;8614.544;8618.02;3.476;1174.104;7406.162;8546.354;7759.926;302.835;0.858
"2018-05";0;8986.368;8999.224;12.856;-538.363;7235.729;7258.659;8175.539;56.532;0.721
"2019-09";0;5882.133;6169.394;287.261;446.232;5870.663;5938.225;6268.282;0;1
"2019-07";0;7599.672;7742.155;142.483;-121.736;6358.63;6190.863;6589.034;0;1
"2018-09";0;7538.225;7574.533;36.308;771.583;7498.479;7721.326;8028.988;0;1
"2022-07";0;5311.193;5339.82;28.627;1500.004;5081.176;5308.106;5890.435;0;1
"2022-03";0;7241.083;7464.131;223.047;1190.749;7094.197;7817.345;7753.175;222.74;0.871
"2022-01";0;8210.175;8934.08;723.906;-487.182;7483.448;7242.948;6415.484;385.801;1.04
"2020-04";0;3640.786;4081.657;440.871;-727.125;4122.118;4122.118;4694.267;89.303;0.538
"2018-08";0;9709.315;9724.055;14.74;-157.764;7172.327;7082.805;7902.993;0;1
"2021-11";0;5722.085;5731.998;9.913;-799.876;7086.631;6718.132;6299.44;288.403;1.135
"2021-05";0;4542.325;4584.759;42.434;-875.331;5407.811;5430.783;6159.106;116.452;1.485
"2019-04";0;7063.743;7071.707;7.965;532.78;6129.909;6081.646;6722.89;164.844;0.992
"2018-07";0;8049.92;8062.776;12.856;-938.647;8566.714;8477.32;9036.897;0;1
"2018-01";0;9006.153;9026.066;19.914;-8348.281;8411.849;10316.236;9168.557;275.94;0.744
"2020-08";0;1804.81;1941.761;136.951;-205.605;4574.662;4642.305;5286.944;0;1
"2019-03";0;7510.953;7520.194;9.241;534.43;6368.365;7442.132;7500.835;221.345;0.865
"2021-03";0;6722.56;7509.419;786.859;1741.303;6639.143;6285.512;6249.446;260.78;1.02
"2019-08";0;6547.77;6994.358;446.588;-16.365;6147.836;6214.736;6883.03;0;1
"2017-11";0;11093.69;11142.824;49.134;3113.889;9179.317;8819.882;7808.721;273.605;1.076
"2023-02";0;6177.968;6258.4;80.431;929.022;5248.944;5640.55;4703.653;292.236;0.914
"2022-10";0;6064.057;6153.5;89.443;802.373;4713.012;5684.411;5280.126;37.95;0.305
"2022-04";0;6527.165;6535.333;8.169;1869.925;4891.613;4990.806;5527.056;162.673;0.979
"2021-09";0;5357.852;5790.263;432.412;-1249.581;6909.38;6819.138;7157.489;0;1
"2021-07";0;4814.431;4872.358;57.927;95.373;5741.681;5809.275;6342.747;0;1
"2021-02";0;4119.119;4412.698;293.579;-2624.092;6437.118;7409.342;6462.274;260.675;0.815
"2019-10";0;7826.223;8114.793;288.571;1549.585;5924.778;6108.458;6001.273;87.554;0.703
"2019-06";0;5116.518;5129.864;13.346;-600.875;6342.957;6658.342;7526.626;0;1
"2019-05";0;6254.488;6274.344;19.855;662.843;6212.809;6212.809;6894.161;107.094;1.365
"2018-04";0;6479.091;6489.45;10.359;-786.368;7487.074;7585.284;8264.403;109.397;0.659
"2017-12";0;8060.91;8075.396;14.486;-1777.697;8233.02;8438.088;7662.886;354.569;1.005
"2020-02";0;5795.407;5855.863;60.456;28.679;6175.219;7521.906;6610.37;230.482;0.721
"2018-06";0;8978.58;8992.167;13.587;390.984;7520.518;7520.734;8552.09;0;1
