"Période";"1. Importations toutes énergies (en millions d'euros CAF)";"1.1 Importations de combustibles minéraux solides (en millions d'euros CAF)";"1.2 Importations de produits pétroliers (en millions d'euros CAF)";"1.2.1 Importations de pétrole brut (en millions d'euros CAF)";"1.2.2 Importations de produits pétroliers raffinés (en millions d'euros CAF)";"1.3 Importations de gaz (en millions d'euros CAF)";"1.4 Importations d'électricité (en millions d'euros CAF)";"2. Exportations toutes énergies (en millions d'euros FAB)";"2.1 Exportations de combustibles minéraux solides (en millions d'euros FAB)";"2.2 Exportations de produits pétroliers (en millions d'euros FAB)";"2.2.1 Exportations de pétrole brut (en millions d'euros FAB)";"2.2.2 Exportations de produits pétroliers raffinés (en millions d'euros FAB)";"2.3 Exportations de gaz (en millions d'euros FAB)";"2.4 Exportations d'électricité (en millions d'euros FAB)";"3. Facture énergétique totale (en millions d'euros CAF-FAB)";"3.1 Solde importateur (importations - exportations) de combustibles minéraux solides  (en millions d'euros CAF-FAB)";"3.2 Solde importateur (importations - exportations) de produits pétroliers (en millions d'euros CAF-FAB)";"3.2.1 Solde importateur (importations - exportations) de pétrole brut (en millions d'euros CAF-FAB)";"3.2.2 Solde importateur (importations - exportations) de produits pétroliers raffinés (en millions d'euros CAF-FAB)";"3.3 Solde importateur (importations - exportations) de gaz (en millions d'euros CAF-FAB)";"3.4 Solde importateur (importations - exportations) d'électricité (en millions d'euros CAF-FAB)";"3.5 Solde importateur (valeurs CAF - FAB) en biocarburants (en millions d'euros)";"3.6 Solde importateur (valeurs CAF - FAB) en bois-énergie (en millions d'euros)"
"PERIODE";"VIMP_ENER";"VIMP_CMS";"VIMP_PETRO";"VIMP_BRUT";"VIMP_RAFF";"VIMP_GAZ";"VIMP_ELE";"VEXP_ENER";"VEXP_CMS";"VEXP_PETRO";"VEXP_BRUT";"VEXP_RAFF";"VEXP_GAZ";"VEXP_ELE";"VSOLI_ENER";"VSOLI_CMS";"VSOLI_PETRO";"VSOLI_BRUT";"VSOLI_RAFF";"VSOLI_GAZ";"VSOLI_ELE";"VSOLI_BIOC";"VSOLI_BOIS"
"2022-02";9052.95;166.912;4339.207;2157.231;2181.975;3860.327;449.823;1923.422;6.343;623.808;0.232;623.576;480.877;747.826;7129.528;160.568;3715.399;2156.999;1558.399;3379.45;-298.003;163.833;8.282
"2022-05";12182.419;265.907;6457.66;3013.998;3443.662;4410.309;612.547;2509.121;1.741;1074.6;0.251;1074.349;607.829;731.807;9673.298;264.166;5383.06;3013.747;2369.313;3802.48;-119.26;336.155;6.697
"2022-10";12099.367;285.448;6589.437;1911.721;4677.716;4132.247;809.087;2968.095;5.812;724.918;0.222;724.696;1569.295;583.779;9131.272;279.636;5864.519;1911.499;3953.02;2562.953;225.308;170.735;28.121
"2022-07";14671.76;299.781;7179.417;3501.105;3678.312;4557.269;2288.069;2641.885;1.459;1105.534;0.222;1105.312;642.415;836.573;12029.875;298.322;6073.883;3500.883;2573;3914.855;1451.496;276.509;14.81
"2023-02";;;;;;;;;;;;;;;;;;;;;;;
"2023-01";12168.605;253.378;5663.487;2980.493;2682.993;5300.072;588.728;3633.858;20.575;783.208;0.169;783.039;2108.757;627.882;8534.747;232.803;4880.279;2980.324;1899.955;3191.315;-39.153;241.173;28.33
"2017-11";5204.465;216.412;3765.286;2173.511;1591.775;970.615;252.152;1138.798;1;798.063;0.136;797.926;158.366;181.369;4065.667;215.412;2967.223;2173.375;793.848;812.249;70.784;;
"2022-11";12251.946;185.305;5718.654;2347.145;3371.509;5036.135;973.633;2517.706;0.653;728.55;0.181;728.369;1058.353;667.276;9734.24;184.652;4990.104;2346.965;2643.14;3977.783;306.357;243.156;32.188
"2021-08";5395.088;125.65;3792.455;1726.48;2065.975;1252.613;38.283;1511.194;0.26;715.423;0.975;714.449;103.348;619.786;3883.894;125.389;3077.031;1725.505;1351.526;1149.265;-581.503;104.124;9.587
